source_cid,place_key,name,reason
ENPrjv9l2,rjv9l2,17th Jungnang  Seoul Rose Festival,invalid_event_end_date
ENP042906,042906,One and All,invalid_event_end_date
ENP042886,042886,Lee Kyoungmi Solo Exhibition 《The Best is yet to Come》,invalid_event_end_date
ENP042877,042877,Artist Kim Jong-ku Private Exhibition 《Fe-Aerial Landscape》,invalid_event_end_date
ENP042723,042723,Choi Min Collection: Ways of Seeing,invalid_event_end_date
ENP042701,042701,"Breath, Rest: The journey to innocence",invalid_event_end_date
ENP042699,042699,《Kang Seok-ho: Three Minutes Delight》,invalid_event_end_date
ENP042692,042692,My Soul Figure,invalid_event_end_date
ENP042665,042665,The first story of Pierrot and Laurent <MAISON DE LAURENT>,invalid_event_end_date
ENP042540,042540,Seoul Lantern Festival 2022,invalid_event_end_date
ENP042339,042339,Numéro BARDOT,invalid_event_end_date
ENP042233,042233,The 1st Seoul Arts & Tech Festival (Unfold X) 2022,invalid_event_end_date
ENP042181,042181,2022 Neighbor Love Sharing Concert,invalid_event_end_date
ENP042176,042176,2022 Title Match: Im Heung-soon vs. Omer Fast ≪Cut!≫,invalid_event_end_date
ENP042143,042143,Kev Munday Solo Exhibition <Making a Scene>,invalid_event_end_date
ENP042071,042071,Choi Dong-ha Solo Exhibition <Adult Child 9th Exhibition>,invalid_event_end_date
ENP041860,041860,The 2022 9th World Street Dance Festival,invalid_event_end_date
ENP041813,041813,"POPISM, 5 People, 5 Colors",invalid_event_end_date
ENP041779,041779,K-Culture Festival 2022,invalid_event_end_date
ENP041711,041711,2022 Gangnam Festival,invalid_event_end_date
ENP041706,041706,The Abstract Field of Color: Color Beyond the Radiance,invalid_event_end_date
ENP041701,041701,Korea-Japan Festival Hanmadang 2022 in Seoul,invalid_event_end_date
ENP041696,041696,2022 Seoul International Music Festival Pray for Us,invalid_event_end_date
ENP041688,041688,Story of My Day - Photos from Hungary,invalid_event_end_date
ENP041676,041676,The Age of Digital Transformation: Meeting Nam June Paik Again,invalid_event_end_date
ENP041671,041671,love is ♡,invalid_event_end_date
ENP041651,041651,"Tapgol Park, The First Urban Park in Seoul",invalid_event_end_date
ENP041625,041625,The 18th Seoul Wow Book Festival <Ask the Way with Kindness>,invalid_event_end_date
ENP041624,041624,The Essence of Writing Exhibition _ Dobong Kim Seon-young Solo Exhibition,invalid_event_end_date
ENP041623,041623,The 17th Jongno Cheonggye Special Tourist Zone Yukuijeon Festival,invalid_event_end_date
ENP041617,041617,Reenactment of King Jeongjo’s Royal Parade,invalid_event_end_date
ENP041612,041612,"The 10th Jamunbak Cultural Festival, Jamunbak·By Art·Login",invalid_event_end_date
ENP041605,041605,2022 Picksgood Gallery Opening Exhibition [The New WAVE],invalid_event_end_date
ENP041600,041600,Seoul 100K,invalid_event_end_date
ENP041585,041585,"2022 Photographic Arts Center, Seoul Museum of Art Pre-opening Program - The Printed World",invalid_event_end_date
ENP041580,041580,Welcome Daehakro Festival 2022,invalid_event_end_date
ENP041198,041198,SEOUL FESTA 2022,invalid_event_end_date
ENP041157,041157,Magic Shot,invalid_event_end_date
ENP041126,041126,Fresh Zone,invalid_event_end_date
ENP041116,041116,The 12th Seoul Mediacity Pre-Biennale 《Station》,invalid_event_end_date
ENP041079,041079,Kim Young-Eun 《Frames of Sound》,invalid_event_end_date
ENP041009,041009,Jean-Michel Othoniel: Treasure Gardens,invalid_event_end_date
ENP040940,040940,Magic Drawing Family Drama <Doodle Pop>,invalid_event_end_date
ENP040939,040939,2022 Seoul International Buddhism Expo,invalid_event_end_date
ENP040938,040938,"National Hangeul Museum Permanent Exhibition <Hunminjeongeum, The Design of a Writing System Beyond the Millennia>",invalid_event_end_date
ENP040891,040891,Korean Traditional Music Association for Gifted Children,invalid_event_end_date
ENP040889,040889,2022 Sinchon Water Gun Festival,invalid_event_end_date
ENP040860,040860,Art Yard where Culture Flows,invalid_event_end_date
ENP040815,040815,"100 Treasures of Hanyang, a Luxury City",invalid_event_end_date
ENP040810,040810,Lee Sang-ho Ceramic Exhibition: Decorate Spring,invalid_event_end_date
ENP040700,040700,Gyeongbokgung Palace Nighttime Tour (First half of 2022),invalid_event_end_date
ENP040633,040633,See the Environment through the Eyes of Science,invalid_event_end_date
ENP040543,040543,"Yeon Deung Hoe (Lotus lantern festival), Korea’s National Intangible Cultural Heritage and UNESCO Intangible Cultural Heritage of Humanity",invalid_event_end_date
ENP040564,040564,Seoul Illustration Fair V.13,invalid_event_end_date
ENP040546,040546,21km Songpa Trail Cherry Blossom Outing,invalid_event_end_date
ENP040457,040457,7th Annual Seoul Coffee Festival,invalid_event_end_date
ENP040209,040209,Park Soo Keun : The Naked Tree Awaiting Spring,invalid_event_end_date
ENP039899,039899,Yukjo Street: The Symbolic Street of Hanyang,invalid_event_end_date
ENP039898,039898,Seoul as Envisioned by a Scholar of Urban Design,invalid_event_end_date
ENP039064,039064,2021 Seoul International Buddhism Festival,invalid_event_end_date
ENP039065,039065,2021 Seoul Relax Week,invalid_event_end_date
ENP037732,037732,2021 Seoul Drum Festival,invalid_event_end_date
ENP037605,037605,Yeon Deung Hoe (Lotus Lantern Festival),invalid_event_end_date
ENP036912,036912,7th Royal Culture Festival,invalid_event_end_date
ENP036876,036876,Sea of Light,invalid_event_end_date
ENP036878,036878,Dokdo Museum Seoul,invalid_event_end_date
ENP036694,036694,Nighttime Fancies that Disappear in the Morning,invalid_event_end_date
ENP035904,035904,2020 Coex Winter Festival,invalid_event_end_date
ENP035866,035866,Namsan Park & World Cup Park Archives,invalid_event_end_date
ENP035577,035577,41st Seoul Dance Festival,invalid_event_end_date
ENP035571,035571,2020 Seokchon Lake Foliage Fesitval,invalid_event_end_date
ENP035377,035377,2020 Asia Dance Festival,invalid_event_end_date
ENP035370,035370,2020 Insadong Culture Festival,invalid_event_end_date
ENP035308,035308,2020 Nowpan Festival,invalid_event_end_date
ENP035053,035053,The 8th Hanyangdoseong Culture Festival,invalid_event_end_date
ENP035056,035056,Royal Culture Festival 2020,invalid_event_end_date
ENP035057,035057,Korea Traditional Performing Arts Festival 2020,invalid_event_end_date
ENP035034,035034,Seoul Youth Theater Festival,invalid_event_end_date
ENP034832,034832,Jump Guro & Asia Culture Festival in Guro 2020,invalid_event_end_date
ENP034727,034727,2020 Seoul Drum Festival,invalid_event_end_date
ENP034593,034593,Seoul Beer Festival,invalid_event_end_date
ENP034591,034591,Seodaemun Independence Democracy Festival,invalid_event_end_date
ENP034312,034312,The 17th Seoul International Food & Tableware Festival 2020,invalid_event_end_date
ENP033051,033051,2020 Sevit Illumination Light Festival,invalid_event_end_date
ENP032735,032735,ASSITEJ Korea Winter Festival 2020,invalid_event_end_date
ENP032846,032846,Haneul Park Sunrise Festival 2020,invalid_event_end_date
ENP032840,032840,Achasan Sunrise Festival 2020,invalid_event_end_date
ENP032659,032659,17th Seoul Creative Festival,invalid_event_end_date
ENP032423,032423,DDP Light & Winter Festa,invalid_event_end_date
ENP032279,032279,Seoul Light,invalid_event_end_date
ENP041939,041939,Seoul Beauty Travel Week,invalid_event_end_date
ENP041733,041733,2022 Seoul Beauty Week,invalid_event_end_date
ENP041732,041732,Seoul Design 2022,invalid_event_end_date
ENP040455,040455,11th Annual World Coffee Leaders Forum,invalid_event_end_date
ENP040454,040454,21st Annual Seoul Cafe Show,invalid_event_end_date
ENP037592,037592,Moonlight Walk at Changdeokgung Palace 2021,invalid_event_end_date
ENP036287,036287,K-Mas Live Market,invalid_event_end_date
ENP035914,035914,2020 Korea Dance Awards & Dance Night,invalid_event_end_date
ENP035379,035379,2020 Seoul Cafe Show,invalid_event_end_date
ENPi7ar6v,i7ar6v,"Touch Me Tell, A Children's Exhibition at Seoul Museum of Art by Melanie Bonajo",invalid_event_end_date
ENP4i105w,4i105w,Reflective Space: Void Towards The Realm of The Mind,invalid_event_end_date
ENPlim9ah,lim9ah,[S-TCEP] Bag & Shoes Loved by Celebrities,invalid_event_end_date
ENP12kduj,12kduj,[S-TCEP] National Geographic Photo Exhibition: Photo Ark,invalid_event_end_date
ENP3e60eb,3e60eb,"[S-TCEP] Hello, Creators! Seoul Design Incubating Center & Exhibition",invalid_event_end_date
