place_key,review_count,avg_rating,english_text_review_count,foreign_text_review_count
000034,10,4.8,4,8
000036,8,4.375,2,7
000072,11,4.273,5,11
000085,12,4.667,5,10
000090,6,4.167,1,6
000170,5,3.6,2,3
000217,7,3.286,3,7
000261,13,4.692,7,12
000268,6,5.0,5,6
000276,8,5.0,2,8
000286,10,4.6,7,10
000295,8,4.75,1,8
000297,17,4.765,12,15
000369,11,4.818,5,8
000378,11,4.636,3,5
000380,9,4.889,2,9
000405,16,2.438,9,11
000411,7,4.714,2,7
000416,19,4.895,8,15
000419,9,4.778,1,4
000450,15,4.467,2,10
000465,19,4.895,10,19
000471,9,4.222,1,5
000475,8,4.875,3,3
000488,11,3.909,0,2
000490,6,4.0,2,2
000491,2,1.0,2,2
000502,7,3.857,2,4
000503,10,4.6,4,7
000507,8,4.75,3,5
000521,9,3.889,4,6
000528,5,4.8,4,4
000540,9,4.778,4,8
000541,7,4.714,1,7
000559,13,4.462,10,13
000846,9,4.667,4,5
000858,9,4.333,0,2
000859,7,4.857,4,5
001136,15,4.533,5,8
001153,8,4.875,1,2
001159,6,4.333,1,2
001232,14,3.857,10,12
001272,10,4.2,1,1
001306,11,4.545,4,6
001356,13,4.538,3,7
001399,7,4.429,0,0
001403,9,4.889,0,1
001411,7,3.143,1,3
001414,12,4.667,7,9
001421,14,4.643,2,3
001422,6,5.0,5,6
001453,5,4.6,1,1
001544,8,4.625,1,1
001596,7,5.0,1,2
001600,12,3.583,3,9
001615,15,5.0,9,11
001644,13,4.846,8,12
001676,3,5.0,2,2
001694,11,4.455,4,6
001702,14,4.071,3,7
001707,16,4.438,4,7
001732,16,4.062,10,10
001761,7,4.714,0,4
001776,9,4.667,1,2
001778,14,4.286,3,4
001780,12,4.75,0,0
001799,10,4.4,4,7
001809,4,4.75,1,1
001811,6,3.667,0,1
001824,9,4.333,0,2
001831,15,4.8,8,10
001838,4,4.5,2,3
001845,6,4.667,2,2
001852,11,4.727,6,8
001862,8,4.375,0,0
001871,6,4.5,3,3
001899,9,5.0,4,6
001904,12,4.667,2,9
001912,10,4.6,1,2
001919,8,4.875,2,5
001932,5,4.6,1,5
001953,9,3.889,1,3
001961,9,4.556,0,0
001965,9,5.0,2,3
001981,7,4.429,1,1
001994,5,4.8,0,0
001999,7,4.857,3,7
002010,12,4.5,0,0
002011,11,4.182,0,4
002021,9,3.889,1,4
002027,9,4.889,0,1
002029,14,4.571,0,1
002046,10,5.0,8,9
002066,8,3.25,1,4
002071,7,4.571,1,3
002082,4,3.75,1,2
002100,6,3.333,0,2
002126,16,4.438,3,6
002130,14,4.0,0,2
002132,7,4.714,1,2
002156,16,4.938,2,2
002174,8,5.0,0,1
002189,11,4.636,3,3
002192,12,4.417,4,8
002210,3,4.667,2,2
002220,8,4.375,3,5
002231,9,4.111,4,4
002250,6,4.0,1,2
002251,6,3.833,2,3
002257,8,4.375,0,4
002263,7,4.714,0,0
002285,8,3.875,0,0
002287,7,4.714,1,1
002299,8,3.75,0,3
002300,7,4.714,4,4
002372,15,4.667,3,4
002395,12,4.583,1,2
002429,1,5.0,0,1
002446,11,4.636,2,3
002544,10,4.2,3,4
002586,5,4.6,2,5
002637,5,4.2,0,2
002730,14,4.857,4,8
002789,7,3.714,5,7
002841,15,4.4,2,5
002871,1,5.0,0,1
002909,11,4.545,4,7
002925,9,4.778,2,5
002939,9,4.222,2,2
002962,6,3.5,1,3
003008,11,4.818,1,1
003100,6,4.333,1,3
003165,12,4.0,1,4
003176,10,5.0,4,4
003241,12,4.583,5,7
003255,6,4.333,1,1
003266,11,4.636,3,5
003305,12,4.667,0,1
003332,15,4.2,5,7
003387,6,5.0,2,2
003411,12,4.917,3,7
003452,13,3.538,1,6
003459,7,4.571,0,2
003598,11,4.545,1,2
003617,8,4.5,1,3
003629,9,4.444,0,0
003631,12,4.75,4,9
003700,6,5.0,6,6
003759,10,4.6,0,0
003796,7,4.857,2,5
003828,1,5.0,0,0
003830,9,4.222,2,3
003840,5,5.0,4,4
003968,10,4.4,4,7
004023,4,4.5,1,1
004036,11,4.818,2,7
004063,15,4.667,0,0
004101,12,4.417,1,1
004198,7,4.571,1,3
004281,10,4.8,3,3
004325,6,4.667,1,1
004398,6,4.167,0,2
004524,9,4.0,0,0
004693,11,4.364,3,7
004820,10,4.9,1,2
004863,6,3.667,3,5
004924,11,4.273,1,1
004996,6,5.0,4,4
005015,14,4.0,6,9
005032,5,4.8,3,4
005130,13,3.769,4,7
005156,15,4.667,5,14
005205,6,4.833,0,2
005240,12,4.167,2,3
005246,8,4.5,2,6
005475,9,4.778,2,3
005546,11,4.0,2,5
005580,1,5.0,0,0
005667,12,4.5,7,10
005763,13,4.077,2,5
005788,17,4.882,10,16
005796,6,4.5,2,2
005815,9,3.667,4,5
006007,10,4.6,9,10
006225,13,4.462,3,6
006251,9,4.667,2,5
006364,4,4.0,1,4
006430,6,4.0,2,2
006491,11,4.182,0,0
