place_key,cid,place_name,google_place_name,final_url,review_id,rating,rating_label,relative_date_text,collected_at,original_lang,original_text,korean_text,current_lang_at_first_seen,clicked_original,clicked_translation,visit_date_hint,wait_time_hint,reservation_hint,crawl_status,error
9kal14,ENP9kal14,"2026 Seongbuk Museum of Art Special Exhibition 《Lee, Jung yoon: Singing ornaments in the house》",검색 결과,"https://www.google.com/maps/place/%EC%9A%B0%EB%A6%AC%EC%98%9B%EB%8F%8C%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m10!1m2!2m1!1s2026+Seongbuk+Museum+of+Art+Special+Exhibition+%E3%80%8ALee,+Jung+yoon:+Singing+ornaments+in+the+house%E3%80%8B+11+Jangwi-ro+21na-gil,+Seongbuk-gu,+Seoul!3m6!1s0x357cbd25b6db8787:0x56daf7524c881de9!8m2!3d37.6007334!4d126.9901242!15sCo0BMjAyNiBTZW9uZ2J1ayBNdXNldW0gb2YgQXJ0IFNwZWNpYWwgRXhoaWJpdGlvbiDjgIpMZWUsIEp1bmcgeW9vbjogU2luZ2luZyBvcm5hbWVudHMgaW4gdGhlIGhvdXNl44CLIDExIEphbmd3aS1ybyAyMW5hLWdpbCwgU2VvbmdidWstZ3UsIFNlb3VsWo4BIosBMjAyNiBzZW9uZ2J1ayBtdXNldW0gb2YgYXJ0IHNwZWNpYWwgZXhoaWJpdGlvbiDjgIogbGVlIGp1bmcgeW9vbiBzaW5naW5nIG9ybmFtZW50cyBpbiB0aGUgaG91c2Ug44CLIDExIGphbmd3aSBybyAyMW5hIGdpbCBzZW9uZ2J1ayBndSBzZW91bJIBBm11c2V1bZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMW9lRnBITlV4Wk0wNTBVMVZrYTFOclNsaGpNSEJ2VVZVNWRHRnVZeEFC4AEA-gEECAAQGA!16s%2Fg%2F11c3xbz05d?entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Ci9DQUlRQUNvZENodHljRjlvT205SmNrdzNUV2szUnpGbmMzUlBYM3BOT1U1clZIYxAB,5.0,별표 5개,1개월 전,2026-07-13T14:52:24.810557+00:00,ko,산책하기 좋은 곳이네요 서울에 조용한 산책을 할수 있는곳이기도 하고 전시품도 고급스럽고 특이한게 많아요 정성스러운 박물관 입니다 방문일 공휴일 대기 시간 대기 시간 없음 예약 권장 아니요,산책하기 좋은 곳이네요 서울에 조용한 산책을 할수 있는곳이기도 하고 전시품도 고급스럽고 특이한게 많아요 정성스러운 박물관 입니다 방문일 공휴일 대기 시간 대기 시간 없음 예약 권장 아니요,ko,False,False,공휴일,대기 시간 없음,아니요,success,
9kal14,ENP9kal14,"2026 Seongbuk Museum of Art Special Exhibition 《Lee, Jung yoon: Singing ornaments in the house》",검색 결과,"https://www.google.com/maps/place/%EC%9A%B0%EB%A6%AC%EC%98%9B%EB%8F%8C%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m10!1m2!2m1!1s2026+Seongbuk+Museum+of+Art+Special+Exhibition+%E3%80%8ALee,+Jung+yoon:+Singing+ornaments+in+the+house%E3%80%8B+11+Jangwi-ro+21na-gil,+Seongbuk-gu,+Seoul!3m6!1s0x357cbd25b6db8787:0x56daf7524c881de9!8m2!3d37.6007334!4d126.9901242!15sCo0BMjAyNiBTZW9uZ2J1ayBNdXNldW0gb2YgQXJ0IFNwZWNpYWwgRXhoaWJpdGlvbiDjgIpMZWUsIEp1bmcgeW9vbjogU2luZ2luZyBvcm5hbWVudHMgaW4gdGhlIGhvdXNl44CLIDExIEphbmd3aS1ybyAyMW5hLWdpbCwgU2VvbmdidWstZ3UsIFNlb3VsWo4BIosBMjAyNiBzZW9uZ2J1ayBtdXNldW0gb2YgYXJ0IHNwZWNpYWwgZXhoaWJpdGlvbiDjgIogbGVlIGp1bmcgeW9vbiBzaW5naW5nIG9ybmFtZW50cyBpbiB0aGUgaG91c2Ug44CLIDExIGphbmd3aSBybyAyMW5hIGdpbCBzZW9uZ2J1ayBndSBzZW91bJIBBm11c2V1bZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMW9lRnBITlV4Wk0wNTBVMVZrYTFOclNsaGpNSEJ2VVZVNWRHRnVZeEFC4AEA-gEECAAQGA!16s%2Fg%2F11c3xbz05d?entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Ci9DQUlRQUNvZENodHljRjlvT25WUFkwWXdOVloxZUdFNFNGZENSR2hSWTB4VmVHYxAB,5.0,별표 5개,1개월 전,2026-07-13T14:52:27.505365+00:00,ko,박물관,박물관,ko,False,False,,,,success,
9kal14,ENP9kal14,"2026 Seongbuk Museum of Art Special Exhibition 《Lee, Jung yoon: Singing ornaments in the house》",검색 결과,"https://www.google.com/maps/place/%EC%9A%B0%EB%A6%AC%EC%98%9B%EB%8F%8C%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m10!1m2!2m1!1s2026+Seongbuk+Museum+of+Art+Special+Exhibition+%E3%80%8ALee,+Jung+yoon:+Singing+ornaments+in+the+house%E3%80%8B+11+Jangwi-ro+21na-gil,+Seongbuk-gu,+Seoul!3m6!1s0x357cbd25b6db8787:0x56daf7524c881de9!8m2!3d37.6007334!4d126.9901242!15sCo0BMjAyNiBTZW9uZ2J1ayBNdXNldW0gb2YgQXJ0IFNwZWNpYWwgRXhoaWJpdGlvbiDjgIpMZWUsIEp1bmcgeW9vbjogU2luZ2luZyBvcm5hbWVudHMgaW4gdGhlIGhvdXNl44CLIDExIEphbmd3aS1ybyAyMW5hLWdpbCwgU2VvbmdidWstZ3UsIFNlb3VsWo4BIosBMjAyNiBzZW9uZ2J1ayBtdXNldW0gb2YgYXJ0IHNwZWNpYWwgZXhoaWJpdGlvbiDjgIogbGVlIGp1bmcgeW9vbiBzaW5naW5nIG9ybmFtZW50cyBpbiB0aGUgaG91c2Ug44CLIDExIGphbmd3aSBybyAyMW5hIGdpbCBzZW9uZ2J1ayBndSBzZW91bJIBBm11c2V1bZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMW9lRnBITlV4Wk0wNTBVMVZrYTFOclNsaGpNSEJ2VVZVNWRHRnVZeEFC4AEA-gEECAAQGA!16s%2Fg%2F11c3xbz05d?entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Ci9DQUlRQUNvZENodHljRjlvT25CcVRqQnpVRTVITUVWTVgwTlZVblZoYms5aE9YYxAB,4.0,별표 4개,1개월 전,2026-07-13T14:52:31.090913+00:00,,,,,False,False,,,,no_text,
9kal14,ENP9kal14,"2026 Seongbuk Museum of Art Special Exhibition 《Lee, Jung yoon: Singing ornaments in the house》",검색 결과,"https://www.google.com/maps/place/%EC%9A%B0%EB%A6%AC%EC%98%9B%EB%8F%8C%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m10!1m2!2m1!1s2026+Seongbuk+Museum+of+Art+Special+Exhibition+%E3%80%8ALee,+Jung+yoon:+Singing+ornaments+in+the+house%E3%80%8B+11+Jangwi-ro+21na-gil,+Seongbuk-gu,+Seoul!3m6!1s0x357cbd25b6db8787:0x56daf7524c881de9!8m2!3d37.6007334!4d126.9901242!15sCo0BMjAyNiBTZW9uZ2J1ayBNdXNldW0gb2YgQXJ0IFNwZWNpYWwgRXhoaWJpdGlvbiDjgIpMZWUsIEp1bmcgeW9vbjogU2luZ2luZyBvcm5hbWVudHMgaW4gdGhlIGhvdXNl44CLIDExIEphbmd3aS1ybyAyMW5hLWdpbCwgU2VvbmdidWstZ3UsIFNlb3VsWo4BIosBMjAyNiBzZW9uZ2J1ayBtdXNldW0gb2YgYXJ0IHNwZWNpYWwgZXhoaWJpdGlvbiDjgIogbGVlIGp1bmcgeW9vbiBzaW5naW5nIG9ybmFtZW50cyBpbiB0aGUgaG91c2Ug44CLIDExIGphbmd3aSBybyAyMW5hIGdpbCBzZW9uZ2J1ayBndSBzZW91bJIBBm11c2V1bZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMW9lRnBITlV4Wk0wNTBVMVZrYTFOclNsaGpNSEJ2VVZVNWRHRnVZeEFC4AEA-gEECAAQGA!16s%2Fg%2F11c3xbz05d?entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Ci9DQUlRQUNvZENodHljRjlvT25GYU9FTmljRGRtWVdkeVpHWjFSbEpJVEZFMlZXYxAB,5.0,별표 5개,2개월 전,2026-07-13T14:52:33.814318+00:00,ja,涙の女王ロケ地,눈물의 여왕 로케지,ko,True,False,,,,success,
9kal14,ENP9kal14,"2026 Seongbuk Museum of Art Special Exhibition 《Lee, Jung yoon: Singing ornaments in the house》",검색 결과,"https://www.google.com/maps/place/%EC%9A%B0%EB%A6%AC%EC%98%9B%EB%8F%8C%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m10!1m2!2m1!1s2026+Seongbuk+Museum+of+Art+Special+Exhibition+%E3%80%8ALee,+Jung+yoon:+Singing+ornaments+in+the+house%E3%80%8B+11+Jangwi-ro+21na-gil,+Seongbuk-gu,+Seoul!3m6!1s0x357cbd25b6db8787:0x56daf7524c881de9!8m2!3d37.6007334!4d126.9901242!15sCo0BMjAyNiBTZW9uZ2J1ayBNdXNldW0gb2YgQXJ0IFNwZWNpYWwgRXhoaWJpdGlvbiDjgIpMZWUsIEp1bmcgeW9vbjogU2luZ2luZyBvcm5hbWVudHMgaW4gdGhlIGhvdXNl44CLIDExIEphbmd3aS1ybyAyMW5hLWdpbCwgU2VvbmdidWstZ3UsIFNlb3VsWo4BIosBMjAyNiBzZW9uZ2J1ayBtdXNldW0gb2YgYXJ0IHNwZWNpYWwgZXhoaWJpdGlvbiDjgIogbGVlIGp1bmcgeW9vbiBzaW5naW5nIG9ybmFtZW50cyBpbiB0aGUgaG91c2Ug44CLIDExIGphbmd3aSBybyAyMW5hIGdpbCBzZW9uZ2J1ayBndSBzZW91bJIBBm11c2V1bZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMW9lRnBITlV4Wk0wNTBVMVZrYTFOclNsaGpNSEJ2VVZVNWRHRnVZeEFC4AEA-gEECAAQGA!16s%2Fg%2F11c3xbz05d?entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Ci9DQUlRQUNvZENodHljRjlvT21oeFpHNUxZM050U1Vka1NrSlhjMHBvUVU5dGFuYxAB,5.0,별표 5개,6개월 전,2026-07-13T14:52:37.997433+00:00,en,Great place for tourist!,관광객들에게 정말 좋은 곳이에요!,ko,True,False,,,,success,
9kal14,ENP9kal14,"2026 Seongbuk Museum of Art Special Exhibition 《Lee, Jung yoon: Singing ornaments in the house》",검색 결과,"https://www.google.com/maps/place/%EC%9A%B0%EB%A6%AC%EC%98%9B%EB%8F%8C%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m10!1m2!2m1!1s2026+Seongbuk+Museum+of+Art+Special+Exhibition+%E3%80%8ALee,+Jung+yoon:+Singing+ornaments+in+the+house%E3%80%8B+11+Jangwi-ro+21na-gil,+Seongbuk-gu,+Seoul!3m6!1s0x357cbd25b6db8787:0x56daf7524c881de9!8m2!3d37.6007334!4d126.9901242!15sCo0BMjAyNiBTZW9uZ2J1ayBNdXNldW0gb2YgQXJ0IFNwZWNpYWwgRXhoaWJpdGlvbiDjgIpMZWUsIEp1bmcgeW9vbjogU2luZ2luZyBvcm5hbWVudHMgaW4gdGhlIGhvdXNl44CLIDExIEphbmd3aS1ybyAyMW5hLWdpbCwgU2VvbmdidWstZ3UsIFNlb3VsWo4BIosBMjAyNiBzZW9uZ2J1ayBtdXNldW0gb2YgYXJ0IHNwZWNpYWwgZXhoaWJpdGlvbiDjgIogbGVlIGp1bmcgeW9vbiBzaW5naW5nIG9ybmFtZW50cyBpbiB0aGUgaG91c2Ug44CLIDExIGphbmd3aSBybyAyMW5hIGdpbCBzZW9uZ2J1ayBndSBzZW91bJIBBm11c2V1bZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMW9lRnBITlV4Wk0wNTBVMVZrYTFOclNsaGpNSEJ2VVZVNWRHRnVZeEFC4AEA-gEECAAQGA!16s%2Fg%2F11c3xbz05d?entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Ci9DQUlRQUNvZENodHljRjlvT21oS2EyWkZhaTF6VERaelMwVjBWblJSVVhWa2NXYxAB,5.0,별표 5개,7개월 전,2026-07-13T14:52:41.222841+00:00,ko,5천원이 아깝지 않아요 방문일 평일 대기 시간 대기 시간 없음 예약 권장 모르겠음,5천원이 아깝지 않아요 방문일 평일 대기 시간 대기 시간 없음 예약 권장 모르겠음,ko,False,False,평일,대기 시간 없음,모르겠음,success,
9kal14,ENP9kal14,"2026 Seongbuk Museum of Art Special Exhibition 《Lee, Jung yoon: Singing ornaments in the house》",검색 결과,"https://www.google.com/maps/place/%EC%9A%B0%EB%A6%AC%EC%98%9B%EB%8F%8C%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m10!1m2!2m1!1s2026+Seongbuk+Museum+of+Art+Special+Exhibition+%E3%80%8ALee,+Jung+yoon:+Singing+ornaments+in+the+house%E3%80%8B+11+Jangwi-ro+21na-gil,+Seongbuk-gu,+Seoul!3m6!1s0x357cbd25b6db8787:0x56daf7524c881de9!8m2!3d37.6007334!4d126.9901242!15sCo0BMjAyNiBTZW9uZ2J1ayBNdXNldW0gb2YgQXJ0IFNwZWNpYWwgRXhoaWJpdGlvbiDjgIpMZWUsIEp1bmcgeW9vbjogU2luZ2luZyBvcm5hbWVudHMgaW4gdGhlIGhvdXNl44CLIDExIEphbmd3aS1ybyAyMW5hLWdpbCwgU2VvbmdidWstZ3UsIFNlb3VsWo4BIosBMjAyNiBzZW9uZ2J1ayBtdXNldW0gb2YgYXJ0IHNwZWNpYWwgZXhoaWJpdGlvbiDjgIogbGVlIGp1bmcgeW9vbiBzaW5naW5nIG9ybmFtZW50cyBpbiB0aGUgaG91c2Ug44CLIDExIGphbmd3aSBybyAyMW5hIGdpbCBzZW9uZ2J1ayBndSBzZW91bJIBBm11c2V1bZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMW9lRnBITlV4Wk0wNTBVMVZrYTFOclNsaGpNSEJ2VVZVNWRHRnVZeEFC4AEA-gEECAAQGA!16s%2Fg%2F11c3xbz05d?entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Ci9DQUlRQUNvZENodHljRjlvT25kZk9VaHJMVU5xV1V4SWJsSnlVbmRqVlRWT0xYYxAB,5.0,별표 5개,7개월 전,2026-07-13T14:52:44.965289+00:00,en,"This place is absolutely amazing!! Worth the trek in every way. Wonderful museum. 90% is outdoors, so visit when the skies are clear! 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요",정말 멋진 곳이에요!! 모든 면에서 꼭 가볼 만한 가치가 있어요. 박물관도 정말 훌륭해요. 90%가 야외니까 날씨가 맑을 때 방문하세요! 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요,ko,True,False,주말,대기 시간 없음,아니요,success,
9kal14,ENP9kal14,"2026 Seongbuk Museum of Art Special Exhibition 《Lee, Jung yoon: Singing ornaments in the house》",검색 결과,"https://www.google.com/maps/place/%EC%9A%B0%EB%A6%AC%EC%98%9B%EB%8F%8C%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m10!1m2!2m1!1s2026+Seongbuk+Museum+of+Art+Special+Exhibition+%E3%80%8ALee,+Jung+yoon:+Singing+ornaments+in+the+house%E3%80%8B+11+Jangwi-ro+21na-gil,+Seongbuk-gu,+Seoul!3m6!1s0x357cbd25b6db8787:0x56daf7524c881de9!8m2!3d37.6007334!4d126.9901242!15sCo0BMjAyNiBTZW9uZ2J1ayBNdXNldW0gb2YgQXJ0IFNwZWNpYWwgRXhoaWJpdGlvbiDjgIpMZWUsIEp1bmcgeW9vbjogU2luZ2luZyBvcm5hbWVudHMgaW4gdGhlIGhvdXNl44CLIDExIEphbmd3aS1ybyAyMW5hLWdpbCwgU2VvbmdidWstZ3UsIFNlb3VsWo4BIosBMjAyNiBzZW9uZ2J1ayBtdXNldW0gb2YgYXJ0IHNwZWNpYWwgZXhoaWJpdGlvbiDjgIogbGVlIGp1bmcgeW9vbiBzaW5naW5nIG9ybmFtZW50cyBpbiB0aGUgaG91c2Ug44CLIDExIGphbmd3aSBybyAyMW5hIGdpbCBzZW9uZ2J1ayBndSBzZW91bJIBBm11c2V1bZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMW9lRnBITlV4Wk0wNTBVMVZrYTFOclNsaGpNSEJ2VVZVNWRHRnVZeEFC4AEA-gEECAAQGA!16s%2Fg%2F11c3xbz05d?entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Ci9DQUlRQUNvZENodHljRjlvT2xKeWVWbFZObWxJTFdvdE9UVTRUekpWTXpoUmFGRRAB,5.0,별표 5개,8개월 전,2026-07-13T14:52:48.084697+00:00,ko,성북동 위에 이런 산책하기 좋은 공간이 가을 단풍이 너무 좋을때 가서 좋았다며 서울이 한눈에 보이는 멋진 뷰도 가지고 있고 미술 전시도 하고 있는 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요,성북동 위에 이런 산책하기 좋은 공간이 가을 단풍이 너무 좋을때 가서 좋았다며 서울이 한눈에 보이는 멋진 뷰도 가지고 있고 미술 전시도 하고 있는 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요,ko,False,False,주말,대기 시간 없음,아니요,success,
9kal14,ENP9kal14,"2026 Seongbuk Museum of Art Special Exhibition 《Lee, Jung yoon: Singing ornaments in the house》",검색 결과,"https://www.google.com/maps/place/%EC%9A%B0%EB%A6%AC%EC%98%9B%EB%8F%8C%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m10!1m2!2m1!1s2026+Seongbuk+Museum+of+Art+Special+Exhibition+%E3%80%8ALee,+Jung+yoon:+Singing+ornaments+in+the+house%E3%80%8B+11+Jangwi-ro+21na-gil,+Seongbuk-gu,+Seoul!3m6!1s0x357cbd25b6db8787:0x56daf7524c881de9!8m2!3d37.6007334!4d126.9901242!15sCo0BMjAyNiBTZW9uZ2J1ayBNdXNldW0gb2YgQXJ0IFNwZWNpYWwgRXhoaWJpdGlvbiDjgIpMZWUsIEp1bmcgeW9vbjogU2luZ2luZyBvcm5hbWVudHMgaW4gdGhlIGhvdXNl44CLIDExIEphbmd3aS1ybyAyMW5hLWdpbCwgU2VvbmdidWstZ3UsIFNlb3VsWo4BIosBMjAyNiBzZW9uZ2J1ayBtdXNldW0gb2YgYXJ0IHNwZWNpYWwgZXhoaWJpdGlvbiDjgIogbGVlIGp1bmcgeW9vbiBzaW5naW5nIG9ybmFtZW50cyBpbiB0aGUgaG91c2Ug44CLIDExIGphbmd3aSBybyAyMW5hIGdpbCBzZW9uZ2J1ayBndSBzZW91bJIBBm11c2V1bZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMW9lRnBITlV4Wk0wNTBVMVZrYTFOclNsaGpNSEJ2VVZVNWRHRnVZeEFC4AEA-gEECAAQGA!16s%2Fg%2F11c3xbz05d?entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Ci9DQUlRQUNvZENodHljRjlvT2xWQldFRXRiSEpsWVhaUU5HUlJNRkJtTnpKTFRrRRAB,5.0,별표 5개,8개월 전,2026-07-13T14:52:51.944459+00:00,,,,,False,False,주말,대기 시간 없음,예,no_text,
9kal14,ENP9kal14,"2026 Seongbuk Museum of Art Special Exhibition 《Lee, Jung yoon: Singing ornaments in the house》",검색 결과,"https://www.google.com/maps/place/%EC%9A%B0%EB%A6%AC%EC%98%9B%EB%8F%8C%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m10!1m2!2m1!1s2026+Seongbuk+Museum+of+Art+Special+Exhibition+%E3%80%8ALee,+Jung+yoon:+Singing+ornaments+in+the+house%E3%80%8B+11+Jangwi-ro+21na-gil,+Seongbuk-gu,+Seoul!3m6!1s0x357cbd25b6db8787:0x56daf7524c881de9!8m2!3d37.6007334!4d126.9901242!15sCo0BMjAyNiBTZW9uZ2J1ayBNdXNldW0gb2YgQXJ0IFNwZWNpYWwgRXhoaWJpdGlvbiDjgIpMZWUsIEp1bmcgeW9vbjogU2luZ2luZyBvcm5hbWVudHMgaW4gdGhlIGhvdXNl44CLIDExIEphbmd3aS1ybyAyMW5hLWdpbCwgU2VvbmdidWstZ3UsIFNlb3VsWo4BIosBMjAyNiBzZW9uZ2J1ayBtdXNldW0gb2YgYXJ0IHNwZWNpYWwgZXhoaWJpdGlvbiDjgIogbGVlIGp1bmcgeW9vbiBzaW5naW5nIG9ybmFtZW50cyBpbiB0aGUgaG91c2Ug44CLIDExIGphbmd3aSBybyAyMW5hIGdpbCBzZW9uZ2J1ayBndSBzZW91bJIBBm11c2V1bZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMW9lRnBITlV4Wk0wNTBVMVZrYTFOclNsaGpNSEJ2VVZVNWRHRnVZeEFC4AEA-gEECAAQGA!16s%2Fg%2F11c3xbz05d?entry=ttu&g_ep=EgoyMDI2MDcwOC4wIKXMDSoASAFQAw%3D%3D",Ci9DQUlRQUNvZENodHljRjlvT21reVkybHJVbEZ0YkhSWlJVRnJNR1pOTkV4VmVXYxAB,5.0,별표 5개,8개월 전,2026-07-13T14:52:55.671425+00:00,de,"Wunderschön, interessant, idyllisch. Zum Wiederkommen!",아름답고 흥미롭고 목가적인 곳. 꼭 다시 방문할 가치가 있어요!,ko,True,False,,,,success,
