cid,lang_code_id,category_code,category_path,name,summary,description_html,description_text,place,schedule_start_date,schedule_end_date,main_image_url,tags,jibun_address,road_address,detail_address,zip_code,longitude,latitude,subway_info,tel,homepage_url,homepage_lang,use_time,important_note,use_charge_code,usage_fee,created_text,updated_text,fetched_at
ENPyz09up,en,Ce9z7g9,Culture > Parks,Rooftop Garden (The Roof),"A place where you can enjoy open views and comfortable relaxation in the heart of Seoul, it also serves as a connection between Seoul Station and Seoullo 7017","<div class=""se-contents"" role=""textbox"" style=""box-sizing: content-box;"" data-document-fixed-width=""false"" data-document-padding-top=""18"" data-document-padding-bottom=""18"" data-document-padding-left=""23"" data-document-padding-right=""23""><style type=""text/css"" data-seresponsive=""true"">.se-contents .se-scrollbox{overflow-x: auto; -ms-overflow-style: none; scrollbar-width: none;}.se-contents .se-scrollbox::-webkit-scrollbar{display: none;}.se-contents .se-responsive.se-image .se-caption{max-width: 100% !important;}.se-contents .se-responsive.se-image, .se-contents .se-responsive.se-video{max-width: 100%; height: auto !important;}.se-contents .se-responsive.se-image > *, .se-contents .se-responsive.se-video > *{max-width: 100%; min-width: 10px; height: auto !important;}.se-contents .se-responsive.se-video .se-video-wrapper{position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; display: block;}.se-contents .se-responsive.se-video .se-video-wrapper > iframe{width: 100% !important; height: 100% !important; position: absolute; left: 0px}</style><div class=""se-div"" style=""text-align: left; padding: 5px; width: calc(100% - 10px); overflow: auto;""><p style=""text-align: justify; line-height: 1.6; margin: 0px;""><span style=""font-style: normal; font-family: NotoSansCJKkr-Regular; font-size: 12pt; color: rgb(102, 102, 102);"" data-sheets-root=""1"">As the rooftop space of Culture Station Seoul 284 (Historic Site No. 284), it serves as a representative public rooftop location of Seoul and is emerging as a refined night view spot connected to Seoullo 7017.</span></p></div></div>","As the rooftop space of Culture Station Seoul 284 (Historic Site No. 284), it serves as a representative public rooftop location of Seoul and is emerging as a refined night view spot connected to Seoullo 7017.",,,,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=68738&fileTy=MEDIA&fileNo=1&thumbTy=M,"Seoul date courses,  Connect Place,  Seoul walking trails, Seoul attractions,  Seoul outings,  Seoul Station Park,  places to visit near Seoul Station, Seoul Station picnic spots",서울 중구 봉래동2가 122-11,"4th Floor, 405 Hangang-daero, Jung-gu, Seoul",,04509,126.969526329341,37.5547278494914,"Subway Line 1/ 4/ Airport Railroad/ Gyeongui-Jungang Line  Seoul Station  Exit 1,  300m",,,,24 hours,"The walking trail 
Rooftop garden are natural rest spaces in the heart of Seoul, providing a perfect place to take a short break. Connected to Seoullo 7017, it offers a scenic stroll with stunning views of the Seoul Station area.",F,,2024.10.24,2026.04.15,2026-06-26T09:36:06.097063
ENPqsaooa,en,Ce9z7g9,Culture > Parks,Inwangsan Shelter in the Woods ,"Inwangsan Shelter in the Woods, a place where you can enjoy the tranquility of reading a book in the forest of Inwangsan Mountain","<div class=""se-contents"" style=""box-sizing: content-box;""><style type=""text/css"" data-seresponsive=""true"">.se-contents .se-scrollbox{overflow-x: auto; -ms-overflow-style: none; scrollbar-width: none;}.se-contents .se-scrollbox::-webkit-scrollbar{display: none;}.se-contents .se-responsive.se-image .se-caption{max-width: 100% !important;}.se-contents .se-responsive.se-image, .se-contents .se-responsive.se-video{max-width: 100%; height: auto !important;}.se-contents .se-responsive.se-image > img, .se-contents .se-responsive.se-video > *{max-width: 100%; min-width: 10px; height: auto !important;}.se-contents .se-responsive.se-video .se-video-wrapper{position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; display: block;}.se-contents .se-responsive.se-video .se-video-wrapper > iframe{width: 100% !important; height: 100% !important; position: absolute; left: 0px}</style><div class=""se-div"" style=""text-align: left; padding: 5px; width: calc(100% - 10px); overflow: auto;""><p style=""text-align: justify; line-height: 1.6; margin: 0px;""><span style=""font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; orphans: 2; text-transform: none; widows: 2; -webkit-text-stroke-width: 0px; white-space: pre-wrap; text-decoration-thickness: initial; font-family: NotoSansCJKkr-Regular; font-size: 12pt; color: rgb(51, 51, 51); background-color: rgb(255, 255, 255); text-align: left; text-indent: 0px; word-spacing: 0px;"">The Inwangsan Shelter in the Woods was originally one of the military guard posts built during the January 21 Incident in 1968. The Inwang 3rd Guard Post, which was the soldiers' living quarters (now the Inwangsan Shelter in the Woods), has been transformed into a public rest area by removing the reinforced concrete piloti structure and paneling and reconstructing it with a wooden architectural structure. The shelter offers both coziness and openness with its nature-friendly wooden interior and large panoramic windows that showcase the forest views of Inwangsan Mountain. It has become a popular spot for those seeking rest in nature, attracting not only hikers taking a break but also people looking for a quiet place to read and enjoy a peaceful moment in the forest.&nbsp; &nbsp;</span></p></div></div>","The Inwangsan Shelter in the Woods was originally one of the military guard posts built during the January 21 Incident in 1968. The Inwang 3rd Guard Post, which was the soldiers' living quarters (now the Inwangsan Shelter in the Woods), has been transformed into a public rest area by removing the reinforced concrete piloti structure and paneling and reconstructing it with a wooden architectural structure. The shelter offers both coziness and openness with its nature-friendly wooden interior and large panoramic windows that showcase the forest views of Inwangsan Mountain. It has become a popular spot for those seeking rest in nature, attracting not only hikers taking a break but also people looking for a quiet place to read and enjoy a peaceful moment in the forest.",,,,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=68148&fileTy=MEDIA&fileNo=1&thumbTy=M,"InwangsanMountain, Libraries, ForestLibraries, Reading, Culture, Rest","3-1 San, Okin-dong, Jongno-gu, Seoul","San 4-36, Cheongun-dong, Jongno-gu, Seoul ",,03033,126.964277654295,37.5859537047415,"Subway Line 3, Gyeongbokgung Station, Exit 3. Take bus numbers 1020, 7212, or 7022, and get off at the Jahamun Pass/Yoon Dong-ju Literature Museum,  780m ",,,,10:00~17:00 ,,F,,2024.10.07,2025.08.07,2026-06-26T09:36:06.883474
ENPe5w2yc,en,Ce9z7g9,Culture > Parks,Yanghwa Hangang Park,"This location is Yanghwa Hangang Park, offering expansive vistas for you to delight in the stunning scenery.","<div class=""se-contents"" style=""box-sizing: content-box;""><style type=""text/css"" data-seresponsive=""true"">.se-contents .se-scrollbox{overflow-x: auto; -ms-overflow-style: none; scrollbar-width: none;}.se-contents .se-scrollbox::-webkit-scrollbar{display: none;}.se-contents .se-responsive.se-image .se-caption{max-width: 100% !important;}.se-contents .se-responsive.se-image, .se-contents .se-responsive.se-video{max-width: 100%; height: auto !important;}.se-contents .se-responsive.se-image > img, .se-contents .se-responsive.se-video > *{max-width: 100%; min-width: 10px; height: auto !important;}.se-contents .se-responsive.se-video .se-video-wrapper{position: relative; padding-bottom: 56.25%; height: 0; overflow: hidden; display: block;}.se-contents .se-responsive.se-video .se-video-wrapper > iframe{width: 100% !important; height: 100% !important; position: absolute; left: 0px}</style><div class=""se-div"" style=""text-align: left; padding: 5px; width: calc(100% - 10px); overflow: auto;""><p style=""line-height: 1.6; margin: 0px;""><span style=""font-style: normal; font-family: NotoSansCJKkr-Regular; font-size: 12pt; color: rgb(51, 51, 51);"" data-sheets-root=""1"" data-sheets-userformat=""{&quot;2&quot;:961,&quot;3&quot;:{&quot;1&quot;:0},&quot;9&quot;:0,&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0}"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Located along the southern bank of the Hangang River, from Yeouido Saetgang Harbor to Gangseo-gu Gayanggyo Bridge, this area offers an expansive grassy lawn on the dam, providing a panoramic view that is seldom seen elsewhere. There is a dedicated bicycle path from Yeouido Saetgang Harbor to Gayanggyo Bridge, and along the bicycle path below Seonyugyo Bridge, beautiful rose gardens bloom from May, making it a popular spot for couples and families to take photos.&quot;}"">Located along the southern bank of the Hangang River, from Yeouido Saetgang Harbor to Gangseo-gu Gayanggyo Bridge, this area offers an expansive grassy lawn on the dam, providing a panoramic view that is seldom seen elsewhere. There is a dedicated bicycle path from Yeouido Saetgang Harbor to Gayanggyo Bridge, and along the bicycle path below Seonyugyo Bridge, beautiful rose gardens bloom from May, making it a popular spot for couples and families to take photos.</span></p></div></div>","Located along the southern bank of the Hangang River, from Yeouido Saetgang Harbor to Gangseo-gu Gayanggyo Bridge, this area offers an expansive grassy lawn on the dam, providing a panoramic view that is seldom seen elsewhere. There is a dedicated bicycle path from Yeouido Saetgang Harbor to Gayanggyo Bridge, and along the bicycle path below Seonyugyo Bridge, beautiful rose gardens bloom from May, making it a popular spot for couples and families to take photos.",,,,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=64638&fileTy=MEDIA&fileNo=2&thumbTy=M,"Seonyugyo Bridge,  SeonyudoPark,  BikeRoad,  RunningCourse, HangangPark","98-1 Dangsan-dong, Yeongdeungpo-gu, Seoul","221 Nodeul-ro, Yeongdeungpo-gu, Seoul (96-1 Dangsan-dong)",,07231,126.902407955662,37.5382247983267,"Subway Line 9, Seonyudo Station, Exit 2,  702m",+82-2-3780-0581~3,https://hangang.seoul.go.kr/www/contents/678.do?mid=486,,All year around,,F,,2024.04.08,2025.08.20,2026-06-26T09:36:11.020422
ENP039707,en,Ce9z7g9,Culture > Parks,Hyochang Park,"National cultural heritage site, Hyochang Park","<span style=""font-size: 12pt; font-family: NotoSansCJKkr-Regular; font-size: 12pt; line-height: 1.6; color: rgb(51, 51, 51);""> Hyochang Park is a national cultural heritage site and a place where those who passed away fighting for the independence of Korea are enshrined. Kim Gu, also known by his penname Baekbeom, has his shrine and memorial here, increasing the deep historical meaning of this place. It's gaining popularity amongst many as a great place for dates, walking, and viewing cherry blossoms.</span>","Hyochang Park is a national cultural heritage site and a place where those who passed away fighting for the independence of Korea are enshrined. Kim Gu, also known by his penname Baekbeom, has his shrine and memorial here, increasing the deep historical meaning of this place. It's gaining popularity amongst many as a great place for dates, walking, and viewing cherry blossoms.",,,,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=48468&fileTy=MEDIA&fileNo=2&thumbTy=M,"GreatParksForWalking, SeoulCherryBlossoms, SeoulParkDate, DatePlaceRecommendations, ParkRecommendation, QuietPlacesInSeoul, HyochangParkDate, WalkingPlacesInSeoul, HyochangPark, SeoulHistoricalAttractions","255, Hyochang-dong, Yongsan-gu, Seoul","177-18, Hyochangwon-ro, Yongsan-gu, Seoul ",(Hyochang Park),04311,126.960221399119,37.5451826970622,"Subway Gyeongui Jungang Line/ Line 6  Hyochang Park Station  Exit 1,  717m",,,,,,F,Free,2021.11.17,2025.09.19,2026-06-26T09:36:15.130568
ENP039706,en,Ce9z7g9,Culture > Parks,Seoripul Park,"If you'd like to travel somewhere in the city with nature, recreational areas, and walking paths, visit Seoripul Park. Take in the clean fresh air of the forest in the city whose beauty can be felt each season.","<span style=""font-size: 12pt; font-family: NotoSansCJKkr-Regular; font-size: 12pt; line-height: 1.6; color: rgb(51, 51, 51);""> If you'd like to travel somewhere in the city with nature, recreational areas, and walking paths, visit Seoripul Park. Seoripul Park, located in Banpo-dong, Seocho-gu, can be seen when passing by the Express Bus Terminal or Nueh Bridge by The Catholic University of Korea Seoul St. Mary's Hospital. This park, which is connected by Nueh Bridge and Seoripul Bridge, is a great place to take some time to heal while walking in nature even in the middle of the city. After sunset, enjoy the Seoul night views with the 2,000 colorful warm lights of Nueh Bridge. Take in the clean fresh air of the forest in the city whose beauty can be felt each season at Seoripul Park.</span>","If you'd like to travel somewhere in the city with nature, recreational areas, and walking paths, visit Seoripul Park. Seoripul Park, located in Banpo-dong, Seocho-gu, can be seen when passing by the Express Bus Terminal or Nueh Bridge by The Catholic University of Korea Seoul St. Mary's Hospital. This park, which is connected by Nueh Bridge and Seoripul Bridge, is a great place to take some time to heal while walking in nature even in the middle of the city. After sunset, enjoy the Seoul night views with the 2,000 colorful warm lights of Nueh Bridge. Take in the clean fresh air of the forest in the city whose beauty can be felt each season at Seoripul Park.",,,,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=75388&fileTy=MEDIA&fileNo=1&thumbTy=M,"SeoulWalkingPath, GangnamWalkingPath, CherryBlossomStreet, WalkingCourse, WalkingPathsInSeoul, BanpoWalkingPath, SeoripoolGil, DatePlacesInSeoul, SeoripulPark, SeoulCherryBlossoms, BestWalkingPathsInSeoul, WheelchairAccessibleWalkingPaths","126-1, Bangbae-dong, Seocho-gu, Seoul, Korea","160-7 Seocho-daero, Seocho-gu, Seoul",,06661,127.000079151118,37.4889927268503,"Subway Line 7  Naebang Station  Exit 8,  977m",+82-2-2155-6861,,,,,F,Free,2021.11.17,2025.08.29,2026-06-26T09:36:15.952068
ENP039629,en,Ce9z7g9,Culture > Parks,Chundangji Pond,On the rear garden grounds of Changgyeonggung Palace sits Chundangji Pond,"<span style=""font-size: 12pt; font-family: NotoSansCJKkr-Regular; font-size: 12pt; line-height: 1.6; color: rgb(51, 51, 51);"">On the rear garden grounds of Changgyeonggung Palace sits Chundangji Pond. It is known for its beautiful nature and fall foliage. Chundangji consists of two parts. The smaller upper half is the original location of the pond, while the lower half was initially used as a naenongpo , a place for the royal court to experiment with planting crops such as rice. However, during the Japanese occupation in 1909, the naenongpo was converted into a pond. In 1986, it was renovated into a traditional Korean style. Visitors can also see the seven-story pagoda, made in 1470, sitting on the shore of the pond.</span>","On the rear garden grounds of Changgyeonggung Palace sits Chundangji Pond. It is known for its beautiful nature and fall foliage. Chundangji consists of two parts. The smaller upper half is the original location of the pond, while the lower half was initially used as a naenongpo , a place for the royal court to experiment with planting crops such as rice. However, during the Japanese occupation in 1909, the naenongpo was converted into a pond. In 1986, it was renovated into a traditional Korean style. Visitors can also see the seven-story pagoda, made in 1470, sitting on the shore of the pond.",,,,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=75417&fileTy=MEDIA&fileNo=1&thumbTy=M,"Changgyeonggung, SeoulAttractions, SeoulNature, KoreanPalace, SeoulPalace, KoreanHistoricSites, Chundangji-Pond","2-1, Waryong-dong, Jongno-gu, Seoul, Korea","185, Changgyeonggung-ro, Jongno-gu, Seoul, Korea (와룡동, 창경궁)",,03072,126.993841430623,37.5776239475981,"Subway Line 4  Hyehwa Station  Exit 4,  994m",+82-2-762-4868,https://royal.khs.go.kr/ENG/contents/E103010000.do,"KOR,ENG,JPN,CHN(zh-CN)",Daily 09:00 - 21:00 (Last entry at 20:00) ,"Notice on Restricted Access to Chundangji Pond, Changgyeonggung Palace (Nov. 28, 2025 – Jan. 12, 2026) : Access to Chundangji Pond will be restricted due to maintenance work, and the schedule may change depending on on-site conditions. ",C,"Adults (19-64) - KRW 1,000
Free: aged 18 and below, seniors (aged 65 and over), those wearing a Hanbok, Culture Day(the last Wednesday of every month)",2021.11.11,2026.05.03,2026-06-26T09:36:20.063659
ENP038861,en,Ce9z7g9,Culture > Parks,World Cup Park's Dog Park,A space where visitors can have fun running around with their off-leash dog! ,"<span style=""font-size: 12pt; font-family: NotoSansCJKkr-Regular; font-size: 12pt; line-height: 1.6; color: rgb(51, 51, 51);""> World Cup Park's Dog Park is a space where visitors can take their dogs off leash and let them play and run around! Only registered dogs are allowed in the dog park, and when entering the park, visitors must bring a toilet bag and a leash. There are designated sections for different sized dogs: small, medium and large. Trash bins where visitors can dispose of their dog's waste are installed in the park so the puppies can run around in a clean and safe environment!&nbsp;</span>","World Cup Park's Dog Park is a space where visitors can take their dogs off leash and let them play and run around! Only registered dogs are allowed in the dog park, and when entering the park, visitors must bring a toilet bag and a leash. There are designated sections for different sized dogs: small, medium and large. Trash bins where visitors can dispose of their dog's waste are installed in the park so the puppies can run around in a clean and safe environment!",,,,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=78085&fileTy=MEDIA&fileNo=1&thumbTy=M,"DogPlayArea, TravelWithDog, SeoulDogFriendly, DogWalkingArea, SeoulWalkingTrail, WorldCupParkDogPark, WorldCupPark, DogPark, SeoulWithDogs, DogWalking","1535, Sangam-dong, Mapo-gu, Seoul","32, Jeungsan-ro, Mapo-gu, Seoul","(Sangam-dong, Information Center)",03901,126.89244828144,37.564133892331,"Subway Line 6  World Cup Stadium Station  Exit 1,  771m",+82-2-2124-2835,http://animal.seoul.go.kr/animalplay,KOR,,,F,,2021.09.16,2025.12.12,2026-06-26T09:36:24.178148
ENP037160,en,Ce9z7g9,Culture > Parks,Gyeongui Line Forest Park,"The Gyeongi Line Forest Park is a long section of land including Yeontral Park and Gyeongi Line Book Street, and is a place where you can enjoy green spaces in the city center. ","<p style=""text-align: justify; line-height: 1.5;""><span style=""color: rgb(51, 51, 51); font-family: NotoSansCJKkr-Regular; font-size: 12pt;"">The Gyeongui Line Forest Park is a 6.3 km long park that stretches from Gajwa Station in Yeonnam-dong, Mapo-gu, to the Wonhyo 1-dong Community Service Center, passing through Hyochang Park Station in Yongsan-gu. This park features Gyeongui Line Book Street and Yeontral Park. The longest section, Yeontral Park in Yeonnam-dong, is a popular gathering spot where young people lay out mats and enjoy beer. The park is a favorite among locals for walking and enjoying green spaces within the city. Some sections include recreated rails and crossings from the old Yongsan Line and display old train cars, making it an ideal place for reminiscing and relaxing.&nbsp;</span></p><p></p>","The Gyeongui Line Forest Park is a 6.3 km long park that stretches from Gajwa Station in Yeonnam-dong, Mapo-gu, to the Wonhyo 1-dong Community Service Center, passing through Hyochang Park Station in Yongsan-gu. This park features Gyeongui Line Book Street and Yeontral Park. The longest section, Yeontral Park in Yeonnam-dong, is a popular gathering spot where young people lay out mats and enjoy beer. The park is a favorite among locals for walking and enjoying green spaces within the city. Some sections include recreated rails and crossings from the old Yongsan Line and display old train cars, making it an ideal place for reminiscing and relaxing.",,,,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=72516&fileTy=MEDIA&fileNo=2&thumbTy=M,"Outing, FamiliesWithChildren, GyeonguiLineForestPark, YeonnamdongDating, HongdaeAttractions, SeoulParkRecommendation, HongdaeWalkingArea, SeoulAccessibleTourism, YeontralPark, SeoulWalkingTour, Walk, SeoulFunThingsToDo, Park, ForestPath, SeoulDating","190-1, Donggyo-dong, Mapo-gu, Seoul, Korea","188, Yanghwa-ro, Mapo-gu, Seoul, Korea (Aekyung Tower)",,04051,126.924879359583,37.5594113610101,"Subway Line 2 / Gyeongui Central Line/ Airport Railroad  Hongik University Station  Exit 3,  447m",,,,,,N,,2021.04.15,2026.05.07,2026-06-26T09:36:24.966963
ENP037010,en,Ce9z7g9,Culture > Parks,Gwangjin Forest Naru Park,A community park located at the northern end of the Cheonho-daero Tunnel.,"<span style=""font-size: 12pt; font-family: NotoSansCJKkr-Regular; font-size: 12pt; line-height: 1.6; color: rgb(51, 51, 51);""> As a community park located between Guui-dong and Gwangjang-dong of Gwangjin-gu at the northern end of the Cheonho-daero Tunnel, Gwangjin Forest Naru Park captures a wide vista of the Hangang River and Cheonho-daero. The park has a small concert arena at its center called Naru Madang alongside a vast array of sights and sounds, including the Naru Waterfall and other beautiful scenic landscape. Be sure to check out the photo zones located throughout the park so as to not miss out on all the wonderful scenery the park has to offer!</span>","As a community park located between Guui-dong and Gwangjang-dong of Gwangjin-gu at the northern end of the Cheonho-daero Tunnel, Gwangjin Forest Naru Park captures a wide vista of the Hangang River and Cheonho-daero. The park has a small concert arena at its center called Naru Madang alongside a vast array of sights and sounds, including the Naru Waterfall and other beautiful scenic landscape. Be sure to check out the photo zones located throughout the park so as to not miss out on all the wonderful scenery the park has to offer!",,,,https://api.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=76885&fileTy=MEDIA&fileNo=1&thumbTy=M,"GwangjinPark, SeoulDrive, NeighborhoodPark, CommunityPark, Cheondaero, SocialDistancing, Gwangjingu, SeoulPark, GwangjinForestNaruPark","401-14, Gwangjang-dong, Gwangjin-gu, Seoul, Korea","760 Cheonho-daero, Gwangjin-gu, Seoul",,04982,127.098248810186,37.546547775364,"Subway Line 5  Gwangnaru Station  Exit 1,  720m",,,,,,N,,2021.02.10,2026.04.27,2026-06-26T09:36:29.097415
ENP036989,en,Ce9z7g9,Culture > Parks,Seocho Culture & Arts Park,A park built in the third zone of Yangjae Citizens' Forest filled with gorgeous plane trees.,"<span style=""font-size: 12pt; font-family: NotoSansCJKkr-Regular; font-size: 12pt; line-height: 1.6; color: rgb(51, 51, 51);"">Built in the third zone of Yangjae Citizens' Forest and having reached completion in May of 1994, the Seocho Culture &amp; Arts Park is a relatively new addition to Seocho District and is comprised of all kinds of sculptures and special exhibition areas, an outdoor arena, and public plazas scattered throughout. The park has  become a proud, cultural hub of Seocho as it continues to garner attention with its regularly-held public performances and exhibitions.</span>","Built in the third zone of Yangjae Citizens' Forest and having reached completion in May of 1994, the Seocho Culture & Arts Park is a relatively new addition to Seocho District and is comprised of all kinds of sculptures and special exhibition areas, an outdoor arena, and public plazas scattered throughout. The park has become a proud, cultural hub of Seocho as it continues to garner attention with its regularly-held public performances and exhibitions.",,,,https://api.visitseoul.net/comm/getImage?srvcId=POST&parentSn=36998&fileTy=POSTTHUMB&fileNo=1&thumbTy=M&postTy=P,"AutumninSeoul, SeoulFoliage, YangjaeCitizensForest, SeochoCulture&ArtsPark, SeoulPark, FallLeaves","200, Yangjae-dong, Seocho-gu, Seoul","40, Baumoe-ro 12-gil, Seocho-gu, Seoul  (Yangjae-dong, Seocho Cultural Art Park)",,06769,127.032021588149,37.4698840182934,"Subway Sin-Bundang Line  Yangjae Citizens Forest Station  exit 5,  681m",+82-2-2155-8601,https://www.seocho.go.kr/site/seocho/04/10405010200002015070703.jsp,KOR,,,N,,2021.02.09,2025.08.19,2026-06-26T09:36:33.178088
