id,name,link,review_count,image,cuisine,price,address,latitude,longitude,telephone,rating,description
26188436,Fabrikseoul,https://www.tripadvisor.com/Restaurant_Review-g294197-d26188436-Reviews-Fabrikseoul-Seoul.html,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/db/46/9b/vibes.jpg?w=400&h=-1&s=1,"Cafe, Bar, Wine Bar, Pub",$$ - $$$,"Seoulsi Jung-gu Euljilo 14gil 16-3 1, 2층",37.565445,126.991806,+82 50-71447-6222,5.0,"""FABRIK SEOUL goes beyond simply being a place to drink, aiming to be a cultural factory where culture and art are constantly being reproduced. In this space, where the historical remnants of a 1970s hospital building blend with a modern sensibility, we aim to take you on a new journey that will awaken your senses. The industrial concept, with its repurposed conveyor belt bar and lighting, is full of character. In addition to the main hall, there are also private rooms, making it ideal for group gatherings. Enjoy cocktail-making performances at the bar, and enjoy small talk. Moreover, as a music lounge, the weekend DJ sets elevate the atmosphere with trendy music and a vibrant sensibility. With a diverse lineup of wines, cocktails, whiskeys, and highballs, you'll be sure to enjoy the music and atmosphere all night long. Near Euljiro 3-ga Station, it's conveniently located, and with Jamsugyojip and Sancheong Charcoal Garden 2 right in front, it's a perfect place for a second round."
26822594,Daol Charcoal Grill,https://www.tripadvisor.com/Restaurant_Review-g294197-d26822594-Reviews-Daol_Charcoal_Grill-Seoul.html,590,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/d5/ce/6d/savor-the-exquisite-taste.jpg?w=400&h=400&s=1,"Barbecue, Korean, Fusion, Wine Bar, Beer restaurants",$$ - $$$,"54-2, Myeongdong 2-ga 1st And 2nd Floors",37.56318,126.98396,+82 2-3789-7774,4.9,"Daol Charcoal Grill Myeongdong Branch is a restaurant in Myeongdong, Seoul where you can taste representative K-food foods such as bulgogi, pork belly, and soybean paste stew. We hope you enjoy it. We will always prepare fresh ingredients to reward our customers."
14803574,Flavors,https://www.tripadvisor.com/Restaurant_Review-g294197-d14803574-Reviews-Flavors-Seoul.html,2058,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/0f/ad/6b/caption.jpg?w=400&h=400&s=1,"Seafood, Asian, Korean, Grill, Healthy",$$$$,"176 Sinbanpo-ro, Seocho-gu Seocho-gu",37.503933,127.004745,+82 2-6282-6730,5.0,"Indulge in delicious global cuisine in a dynamic and stylish atmosphere while dining at Flavors. Our restaurant is located in the JW Marriott Hotel Soul and serves breakfast, lunch and dinner daily."
1174982,Tosokchon Samgyetang,https://www.tripadvisor.com/Restaurant_Review-g294197-d1174982-Reviews-Tosokchon_Samgyetang-Seoul.html,2721,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f1/a8/3f/photo4jpg.jpg?w=400&h=400&s=1,"Asian, Korean, Healthy, Soups",$$ - $$$,"5, Jahamun-ro 5-gil, Jongno-gu",37.57775,126.97164,+82 2-737-7444,4.2,"Cash Only, Accepts Credit Cards"
10388017,Bbandak Bbandak Myeongdong Branch,https://www.tripadvisor.com/Restaurant_Review-g294197-d10388017-Reviews-Bbandak_Bbandak_Myeongdong_Branch-Seoul.html,93,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/3c/60/b0/caption.jpg?w=400&h=400&s=1,"Asian, Korean, Healthy",$$ - $$$,"Myeongdong 4-gil, 46 2F",37.5617,126.983955,+82 2-6953-0012,4.5,"A must-visit spot in Myeongdong! Taste the authentic Dakgalbi loved by locals. Fresh ingredients, generous portions, and unforgettable cheesy flavors await you."
4343686,Atrio,https://www.tripadvisor.com/Restaurant_Review-g294197-d4343686-Reviews-Atrio-Seoul.html,375,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/37/54/06/atrio.jpg?w=400&h=400&s=1,"Italian, Pizza, Central-Italian",$$ - $$$,"23-1, Yeouido-dong, Yeongdeungpo-gu 2F, Conrad Seoul",37.525414,126.92661,+82 2-6137-7120,4.8,"Enjoy Italian dining as you’ve never experienced before. Atrio combines sky-high ceilings with hearty, down-to-earth Italian fare, offering simple yet authentic regional Italian recipes. This stylish restaurant features a 28m high ceiling adorned with designer lighting, elegant sculptures, a traditional pizza oven, an antipasti counter and a pasticceria counter. Bravissimo!"
26848644,Kukbingwan,https://www.tripadvisor.com/Restaurant_Review-g294197-d26848644-Reviews-Kukbingwan-Seoul.html,24,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/9c/18/2b/caption.jpg?w=400&h=400&s=1,"Steakhouse, Barbecue, Asian, Korean, Grill",$$ - $$$,"17-4 Jahamun-ro 2-gil, Jongno-gu 1F",37.576626,126.97382,+82 2-722-3833,4.3,"Accepts credit cards: American Express, Mastercard, Visa"
1371740,Mugyodong Bugeokukjib,https://www.tripadvisor.com/Restaurant_Review-g294197-d1371740-Reviews-Mugyodong_Bugeokukjib-Seoul.html,682,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/2f/62/d1/caption.jpg?w=400&h=400&s=1,"Asian, Korean, Healthy, Soups",$,"38, Eulji-ro 1-gil, Jung-gu",37.567886,126.979744,+82 2-777-3891,4.4,Accepts Credit Cards
4562449,SUT - The Butcher's Edge,https://www.tripadvisor.com/Restaurant_Review-g294197-d4562449-Reviews-SUT_The_Butcher_s_Edge-Seoul.html,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/a6/b4/ed/steak.jpg?w=400&h=400&s=1,"Steakhouse, Bar, Grill, Fusion",$$$$,"23-1 Yeouido-dong 37F, Conrad Seoul",37.52542,126.92661,+82 2-6137-7110,4.7,"Rising above the Seoul skyline at the pinnacle of Conrad Seoul, SUT. The Butcher’s Edge redefines the art of steak through fire, time, and craftsmanship. USDA Prime Beef and Australian King River Beef are carefully dry-aged to develop their optimal flavor, while all cuts, including Korea’s finest nulliparous Korean beef, are seared over charcoal flames to fully enhance their natural taste. An elegant omakase-style dining journey, paired with the sommelier’s carefully curated wine selections, invites guests to experience the true harmony of flavor, texture, and artistry. Experience the essence of fire, the depth of aging, and the beauty of the moment and discover a new definition of luxury dining at SUT."
14803418,The Margaux Grill,https://www.tripadvisor.com/Restaurant_Review-g294197-d14803418-Reviews-The_Margaux_Grill-Seoul.html,315,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/44/07/47/the-margaux-grill-features.jpg?w=400&h=400&s=1,"Steakhouse, Bar, Grill",$$$$,"176 Sinbanpo-ro, Seocho-gu Seocho-gu",37.50391,127.00475,+82 2-6282-6759,4.9,"At The Margaux Grill, enjoy grilled cuisine paired with a variety of rare wines from the largest wine cellar in Korea in our outdoor gardens. The Margaux Grill is located inside the JW Marriott Hotel Seoul and is open for both lunch and dinner."
14090441,853,https://www.tripadvisor.com/Restaurant_Review-g294197-d14090441-Reviews-853-Seoul.html,248,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/72/0b/1b/moksal-pork-blade-shoulder.jpg?w=400&h=400&s=1,"Barbecue, Asian, Korean, Grill",$$ - $$$,"16, Insa-Dong 12-Gil",37.574703,126.98509,+82 2-733-0853,4.7,"■ Korean BBQ Restaurant '853' ■ "" We serve authentic Korean pork BBQ With 853 grill Know-how"" ■ BBQ Menu ○ Pork Blade Shoulder(moksal) (150g/100g 12,000)-18,000 ○ Pork Belly (Samgyeopsal) (150g/100g 12,000)- 18,000 ○ Pork cheek meat(Gabrisal) (150g / 100g 14,000)- 21,000 ○ Pork Neck(hangjeongsal) (150g / 100g 14,666)- 22,000 ■ business our: 11:30~22:00 ■ Lunch menu 11:30~14:30, Last Oder: 14:00 everyday. ■ Last Oder Time: 21:20 everyday."
25453046,Hangong-Gan,+82 10-7223-4247,"561-4 Yeonnam-dong, Mapo-gu",03988,37.56104,126.92041,"Asian, Korean, Fusion",Sun 17:00~00:00 / Mon 17:00~00:00 / Wed 17:00~00:00 / Thu 17:00~00:00 / Fri 17:00~00:00 / Sat 17:00~00:00,"If you are looking for a real hidden gem in hongdae/yeonnam, here we are. I am pretty sure that this will be your best Asian gastronomy experience in Korea. Escaping from the crowded main street, don’t hesitate to try this funky adventure. Welcome to my cooking laboratory.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/e5/5d/dc/out.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d25453046-Reviews-Hangong_Gan-Seoul.html
9163742,Ziu BBQ,+82 2-777-2171,"20, Toegye-ro 18-gil",04631,37.560005,126.98519,"Barbecue, Asian, Korean, Grill, Healthy",Sun 11:00~22:30 / Mon 11:00~22:30 / Tue 11:00~22:30 / Wed 11:00~22:30 / Thu 11:00~22:30 / Fri 11:00~22:30 / Sat 11:00~22:30,"Hi, this is ZIU BBQ. We are a small, family-run boutique Korean BBQ restaurant that has been in operation since 2002. Our goal is to provide our customers with exceptional K-BBQ & food, and Valuable experience. 1++(9) Korean beef sirloin, 450 marinated beef rip and Special K-liquor are our signatures. ** To ensure fair information and pricing, we refrain from creating paid reviews. Slow, but true to the path.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/d9/35/d6/ziubbq-k-bbq-since-2002.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d9163742-Reviews-Ziu_BBQ-Seoul.html
2327459,Buddha's Belly,+82 2-749-0903,"48, Noksapyeong-daero 40-gil, Yongsan-gu",04345,37.534294,126.98858,"Asian, Thai",Sun 11:30~22:00 / Mon 11:30~22:00 / Tue 11:30~22:00 / Wed 11:30~22:00 / Thu 11:30~22:00 / Fri 11:30~22:30 / Sat 11:30~22:30,"※ Present a same-day parking ticket to receive a ₩2,000 discount for every ₩40,000 spent on dining (up to ₩10,000). Yongsan-gu Office Parking Lot 1 hour - 2,700 won 2 hours - 5,700 won Dongho Parking Lot 1 hour - 4,000 won 2 hours - 8,000 won",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fb/d0/58/reservation-for-tables.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d2327459-Reviews-Buddha_s_Belly-Seoul.html
3568808,Odarijip Myeongdong,+82 2-778-6769,"28, Myeongdong 8na-gil 2F,  Savoy Hotel Seoul",04536,37.561398,126.98342,"Seafood, Asian, Korean",Sun 09:00~23:45 / Mon 09:00~23:45 / Tue 09:30~23:45 / Wed 09:00~23:45 / Thu 09:00~23:30 / Fri 09:00~23:45 / Sat 09:00~23:45,Gluten free options,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/58/58/80/caption.jpg?w=800&h=400&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d3568808-Reviews-Odarijip_Myeongdong-Seoul.html
9105334,Maple Tree House - Itaewon,+82 2-790-7977,"26, Itaewon-ro 27ga-gil, Yongsan-gu",04350,37.534874,126.994026,"Barbecue, Asian, Korean",Sun 11:30~22:00 / Mon 11:30~15:00 / Mon 17:00~22:00 / Tue 11:30~15:00 / Tue 17:00~22:00 / Wed 11:30~15:00 / Wed 17:00~22:00 / Thu 11:30~15:00 / Thu 17:00~22:00 / Fri 11:30~15:00 / Fri 17:00~22:00 / Sat 11:30~22:00,Gluten free options,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fe/5c/13/photo0jpg.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d9105334-Reviews-Maple_Tree_House_Itaewon-Seoul.html
33118839,Sunshine Charcoal Grilling,+82 2-772-9282,"19-3, Myeongdong 10-gil Jung-gu",04537,37.56302,126.98561,"Seafood, Barbecue, Asian, Korean, Grill, Fusion, Healthy",Sun 11:00~23:00 / Mon 11:00~23:00 / Tue 11:00~23:00 / Wed 11:00~23:00 / Thu 11:00~23:00 / Fri 11:00~23:00 / Sat 11:00~23:00,"Digital Payments, Accepts credit cards: American Express, Discover, Mastercard, Visa",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/db/46/cf/caption.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d33118839-Reviews-Sunshine_Charcoal_Grilling-Seoul.html
9018255,Gop Mapo,+82 507-1324-5201,31-1 Dohwa-Gil Mapo-gu,,37.54103,126.94938,"Barbecue, Asian, Korean",Sun 15:00~23:00 / Mon 16:00~23:30 / Tue 16:00~23:30 / Wed 16:00~23:30 / Thu 16:00~23:30 / Fri 16:00~23:30 / Sat 16:00~23:30,"""Experience Authentic Korean BBQ with Gopchang at Gop Mapo! Since 2009, Gop Mapo has been a go-to spot for gopchang (beef intestine) lovers. Featured in Korean media and recognized by the Blue Ribbon Survey (Korean Michelin), we offer a top-tier dining experience. We serve only the freshest Korean beef intestines, complemented by homemade side dishes. Don’t miss our signature fried rice—perfect for finishing off your meal. Enjoy the vibrant atmosphere, full of diners embracing the lively Korean Pocha culture. Solo diners are welcome too, with single-person set menus available (except from 18:00 to 20:00). Services: - Reservations via Instagram DM (English & Japanese) - Free Wi-Fi - Menus in English, Japanese, and Chinese""",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/80/94/0d/15.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d9018255-Reviews-Gop_Mapo-Seoul.html
26689688,Seoul Garage Bar,+82 10-6630-6980,4 Jong-ro 14-gil 1st Floor,,37.569843,126.98669,"Bar, Pizza, Asian, Korean, Pub",Sun 14:00~20:00 / Mon 18:00~02:00 / Tue 18:00~02:00 / Wed 18:00~02:00 / Thu 18:00~02:00 / Fri 18:00~02:00 / Sat 14:00~02:00,Temporarily closed.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/60/95/12/caption.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d26689688-Reviews-Seoul_Garage_Bar-Seoul.html
7132369,Hongdae Dakgalbi,+82 2-2245-5222,"31-10, Wausan-ro 21-gil, Mapo-gu 1F",04041,37.55206,126.921814,"Asian, Korean, Grill, Assyrian, Indigenous",Sun 11:00~22:30 / Mon 11:00~22:30 / Tue 11:00~22:30 / Wed 11:00~22:30 / Thu 11:00~22:30 / Fri 11:00~22:30 / Sat 11:00~22:30,"Accepts credit cards: American Express, Mastercard, Visa",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/23/81/97/caption.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d7132369-Reviews-Hongdae_Dakgalbi-Seoul.html
7033774,New Delhi,+82 10-8690-4915,"28, Nonhyeon-ro 176-gil, Gangnam-gu Sinsadong",06022,37.527588,127.030685,"Indian, Asian",Sun 11:00~22:00 / Mon 11:00~22:00 / Tue 11:00~22:00 / Wed 11:00~22:00 / Thu 11:00~22:00 / Fri 11:00~22:00 / Sat 11:00~22:00,"Vegetarian friendly, Vegan options, Halal, Gluten free options",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/63/c3/ee/new-delhi.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d7033774-Reviews-New_Delhi-Seoul.html
