id,name,phone,address,postal_code,lat,lng,category,hours,description,image,link
27127922,Cafe Swarovski,+82 2-3445-0802,30 Eonju-ro 164-gil 3F,(우) 06062,37.52542,127.035965,커피 및 차 전문점,일 11:00~19:30 / 월 11:00~19:30 / 화 11:00~19:30 / 수 11:00~19:30 / 목 11:00~19:30 / 금 11:00~19:30 / 토 11:00~19:30,올해로 130주년을 맞이한 스와로브스키의 풍부한 유산과 고유한 기술(Savoir-fair)이 집약된 새로운 차원의 브랜드 몰입형 공간인 스와로브스키 도산 파크(Swarovski Dosan Park) 3층에 전세계 최초의 스와로브스키 카페가 오픈 되었습니다. 독일의 프리미엄 테이블웨어 로젠탈과 협업한 식기에 스와로브스키만을 위해 개발된 시그니처 커피와 디저트가 제공됩니다.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/92/f3/a8/k-royal-dessert-tea-set.jpg?w=900&h=500&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d27127922-Reviews-Cafe_Swarovski-Seoul.html
27934627,코리코 카페,+82 2-338-8865,마포구 성미산로 165-7 대원미디어 연남점,(우) 03980,37.565006,126.92468,커피 및 차 전문점,일 11:00~20:00 / 월 11:00~20:00 / 화 11:00~20:00 / 수 11:00~20:00 / 목 11:00~20:00 / 금 11:00~20:00 / 토 11:00~20:00,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/9d/56/7c/caption.jpg?w=900&h=-1&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d27934627-Reviews-Koriko_Cafe-Seoul.html
17202019,어니언 안국,+82 70-7543-2123,종로구 계동길 5,(우) 03059,37.5775,126.98665,커피 및 차 전문점,일 09:00~22:00 / 월 07:00~22:00 / 화 07:00~22:00 / 수 07:00~22:00 / 목 07:00~22:00 / 금 07:00~22:00 / 토 09:00~22:00,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/15/1b/bd/caption.jpg?w=900&h=-1&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d17202019-Reviews-Onion_Anguk-Seoul.html
8874136,파리바게뜨 명동광장점,+82 2-3789-0044,중구 명동9길 23,(우) 04534,37.56111,126.98479,커피 및 차 전문점,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/51/6d/7a/caption.jpg?w=900&h=500&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d8874136-Reviews-Paris_Baguette_Myeongdong_Gwangjang-Seoul.html
27697272,Cafe Pokpo,,262-29 Yeonhui-ro Seodaemun-gu,(우) 03653,37.581264,126.93703,"23,399개의 음식점 중",일 10:00~21:00 / 월 10:00~21:00 / 화 10:00~21:00 / 수 10:00~21:00 / 목 10:00~21:00 / 금 10:00~21:00 / 토 10:00~21:00,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/ee/1d/47/cafe-overlooking-the.jpg?w=900&h=500&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d27697272-Reviews-Cafe_Pokpo-Seoul.html
28654166,이도림,+82 2-2135-9714,자하문로 43 경복궁본점,,37.57996,126.97106,베이커리,일 08:00~21:00 / 월 08:00~21:00 / 화 08:00~21:00 / 수 08:00~21:00 / 목 08:00~21:00 / 금 08:00~21:00 / 토 08:00~21:00,Leedorim Cafe with a unique atmosphere near Gyeongbokgung station. Specialty coffee and Vegan bakery.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/1f/0a/ab/leedorim.jpg?w=900&h=500&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d28654166-Reviews-Leedorim-Seoul.html
7939918,설빙 명동1호점,+82 2-752-2232,중구 명동4길 22 남경빌딩 2층,(우) 04536,37.56278,126.985,디저트 명소,일 10:30~22:30 / 월 10:30~22:30 / 화 10:30~22:30 / 수 10:30~22:30 / 목 10:30~22:30 / 금 10:30~22:30 / 토 10:30~22:30,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/21/a6/9a/sulbing-myeongdong-1.jpg?w=900&h=500&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7939918-Reviews-Sulbing_Myeongdong_1st-Seoul.html
7161373,빈스빈스커피 명동점,+82 2-3789-1980,중구 명동8나길 10 사보이호텔 2층,(우) 04536,37.5618,126.98423,커피 및 차 전문점,일 08:00~22:00 / 월 08:00~22:00 / 화 08:00~22:00 / 수 08:00~22:00 / 목 08:00~22:00 / 금 08:00~22:00 / 토 08:00~22:00,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/83/1f/9e/photo5jpg.jpg?w=900&h=500&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d7161373-Reviews-Beans_Beans_Coffee_Myeongdong_Branch-Seoul.html
23823165,알페도,+82 2-794-1134,용산구 이태원로 174 1st Floor,(우) 04391,37.534294,126.99346,디저트 명소,일 00:00~23:59 / 월 00:00~23:59 / 화 00:00~23:59 / 수 00:00~23:59 / 목 00:00~23:59 / 금 00:00~23:59 / 토 00:00~23:59,"As a traditional Turkish restaurant, our menu is meticulously crafted to showcase the rich and diverse culinary heritage of T?rkiye. Indulge in mouth-watering Turkish Doner Kebab, savor the succulent flavors of Turkish barbecue with Adana and Shish Kebabs, or transport your taste buds to the streets of Istanbul with delicious oven-baked dishes like Turkish Pide and Lahmacun. Whether you're looking for a quick bite on the go or a leisurely meal with family and friends, Alpedo Kebab in Itaewon is the perfect place. Visit us today to experience the finest Turkish hospitality and cuisine right here in Seoul!",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/7d/a2/f7/alpedo-kebab-is-a-traditional.jpg?w=700&h=400&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d23823165-Reviews-Alpedo_Kebab-Seoul.html
3329965,파리바게뜨 강남역점,+82 2-567-8203,강남구 테헤란로1길 28,(우) 06129,37.4995,127.02724,커피 및 차 전문점,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5b/37/a7/caption.jpg?w=700&h=400&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3329965-Reviews-Paris_Baguette_Gangnam_Station-Seoul.html
