id,name,phone,address,postal_code,lat,lng,category,hours,description,image,link,review_count,rating,category_kakao,description_kakao,last_order,kakao_place_id,kakao_place_url,menu_price_min,menu_price_median,menu_count,has_parking,has_group_seating,has_private_room,has_baby_chair,has_kids_menu,allows_pets,has_disabled_access,hours_source
9163742,지우 바비큐,+82 2-777-2171,서울 퇴계로 18길 20,04631,37.560005,126.98519,"바베큐, 아시아 요리, 한국, 그릴, 건강식",월 11:00~22:30 / 화 11:00~22:30 / 수 11:00~22:30 / 목 11:00~22:30 / 금 11:00~22:30 / 토 11:00~22:30 / 일 11:00~22:30,"안녕하세요, 지우입니다.
2002년 오픈한 한우, 양념갈비 전문점입니다.

1++BMS9등급의 한우.
전통의 양념갈비. 선별한 와인이 함께합니다.

익숙하지만 조금은 특별한 경험.
한철보다는 한결같은 음식을 제공하고자 합니다.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/d9/35/d6/ziubbq-k-bbq-since-2002.jpg?w=900&h=500&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d9163742-Reviews-Ziu_BBQ-Seoul.html,201,4.9,갈비,"안녕하세요, 지우 입니다. 남녀노소 누구나 만족할수 있는 모던 BBQ 를 지향합니다.",일 22:00 / 월 22:00 / 화 22:00 / 수 22:00 / 목 22:00 / 금 22:00 / 토 22:00,12364779,https://place.map.kakao.com/12364779,9000,23000,13,true,,,,,,true,kakao
33118839,선샤인 숯불구이,+82 2-772-9282,서울 명동10길 19-3 Jung-gu,04537,37.56302,126.98561,"해산물, 바베큐, 아시아 요리, 한국, 그릴, 퓨전, 건강식",월 11:00~23:00 / 화 11:00~23:00 / 수 11:00~23:00 / 목 11:00~23:00 / 금 11:00~23:00 / 토 11:00~23:00 / 일 11:00~23:00,"윤슬숯불구이 명동점은 서울의 대표 관광지 명동 한복판에 위치한 프리미엄 한국식 숯불구이 전문점입니다. 내부는 전통 한옥의 온기를 현대적으로 재해석한 세련된 인테리어로 꾸며져 있어 가족, 친구, 연인 누구와 함께 와도 편안한 분위기에서 식사를 즐길 수 있습니다. 윤슬숯불구이의 자랑은 엄선된 1++ 등급 한우와 숙성 돼지고기를 전용 참숯에 구워내는 노하우입니다. 고기의 육즙과 숯불 향이 조화를 이루어 입안 가득 깊고 진한 풍미를 선사하며, 고소한 기름기가 고기의 결 사이사이에 스며들어 최상의 식감을 자랑합니다. 대표 메뉴로는 마블링이 뛰어난 꽃등심, 달콤한 소스로 재운 양념갈비, 두툼한 숙성 삼겹살이 있으며, 고소한 육회비빔밥과 새싹·미나리 비빔밥 등 건강한 곁들임 메뉴도 준비되어 있습니다. 또한 전문 쉐프가 고기를 직접 구워주는 시스템으로 고기를 더욱 맛있게 즐길 수 있도록하며 계절별 수제 소스와 신선한 채소, 깔끔한 반찬을 함께 제공합니다. 점심시간(11:00~13:00)에는 가성비를 높인 점심 특선 정식을, 저녁에는 소주·와인 페어링 세트를 운영해 다양한 고객층의 입맛을 만족시키고 있습니다. 매일 오전 11시부터 오후 11시까지 연중무휴로 운영되며, 단체 예약과 생일·기념일 이벤트도 상시 접수 중입니다. 최고의 재료와 정성 어린 서비스로 특별한 식사 경험을 선사하는 윤슬숯불구이 명동점에서 잊지 못할 맛의 향연을 만나보세요.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/db/46/cf/caption.jpg?w=900&h=500&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d33118839-Reviews-Sunshine_Charcoal_Grilling-Seoul.html,50,4.8,"육류,고기","명동 한가운데서 즐기는 1++등급 한우 숯불구이의 절정, 잊지 못할 풍미!프리미엄 맛 보장",,1377366922,https://place.map.kakao.com/1377366922,10000,19500,20,,,,,,,true,kakao
14803574,플레이버즈,+82 2-6282-6730,서울 서울특별시 서초구 신반포로 176 JW 메리어트 호텔 서울 2층,06546,37.503933,127.004745,"해산물, 아시아 요리, 한국, 그릴, 건강식",일 06:30~10:30 / 일 11:30~16:00 / 일 18:00~21:00 / 월 06:30~10:00 / 월 12:00~14:30 / 월 18:00~21:00 / 화 06:30~10:00 / 화 12:00~14:30 / 화 18:00~21:00 / 수 06:30~10:00 / 수 12:00~14:30 / 수 18:00~21:00 / 목 06:30~10:00 / 목 12:00~14:30 / 목 18:00~21:00 / 금 06:30~10:00 / 금 12:00~14:30 / 금 18:00~21:00 / 토 06:30~10:30 / 토 11:30~16:00 / 토 18:00~21:00,Travellers’ Choice 베스트 오브 베스트 프리미엄 뷔페 레스토랑 플레이버즈에서 세계 각국의 다채로운 요리들을 선보입니다. 마스터 셰프들이 라이브 스테이션에서 즉석으로 제공하는 신선한 메뉴들로 미각의 향연을 즐겨보세요. 플레이버즈는 JW 메리어트 호텔 서울 2층에 위치합니다.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/0f/ad/6b/caption.jpg?w=900&h=500&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d14803574-Reviews-Flavors-Seoul.html,2058,5.0,,신선한 랍스타와 풍성한 양갈비의 향연,,360787491,https://place.map.kakao.com/360787491,,,,true,true,true,true,true,,,tripadvisor
26822594,다올 숯불구이 명동점,+82 2-3789-7774,서울 중구 명동8길 8-11 1st And 2nd Floors,04536,37.56318,126.98396,"바베큐, 한국, 퓨전, 와인 바, 맥주 음식점",월 11:00~23:00 / 화 11:00~23:00 / 수 11:00~23:00 / 목 11:00~23:00 / 금 11:00~23:00 / 토 11:00~23:00 / 일 11:00~23:00,"다올 숯불구이 명동점은 K-FOOD의 대표적 음식인 불고기, 삼겹살, 된장찌개 등을 맛보실수 있는 서울 명동 맛집입니다. 많은 이용바랍니다 항상 신선한 재료를 준비하여 고객에게 보답하겠습니다",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/d5/ce/6d/savor-the-exquisite-taste.jpg?w=900&h=500&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d26822594-Reviews-Daol_Charcoal_Grill-Seoul.html,589,4.9,"육류,고기",명동 다올숯불구이! 참숯 향에 녹아든 신선한 맛! 최고의 미식 경험을 즐기세요!,,254918904,https://place.map.kakao.com/254918904,12000,22000,15,,,,,,,true,kakao
25453046,Hangong-Gan,+82 10-7223-4247,"서울 561-4 Yeonnam-dong, Mapo-gu",03988,37.56104,126.92041,"아시아 요리, 한국, 퓨전",월 17:00~24:00 / 수 17:00~24:00 / 목 17:00~24:00 / 금 17:00~24:00 / 토 17:00~24:00 / 일 17:00~24:00,"If you are looking for a real hidden gem in hongdae/yeonnam, here we are. I am pretty sure that this will be your best Asian gastronomy experience in Korea. Escaping from the crowded main street, don’t hesitate to try this funky adventure. Welcome to my cooking laboratory.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/e5/5d/dc/out.jpg?w=900&h=500&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d25453046-Reviews-Hangong_Gan-Seoul.html,278,5.0,퓨전요리,아시아 음식을 하고 있습니다. 14인석의 작은 가게입니다.,일 23:15 / 월 23:15 / 수 23:15 / 목 23:15 / 금 23:15 / 토 23:15,1745787460,https://place.map.kakao.com/1745787460,13000,23000,11,true,,,,,,,kakao
14803418,더 마고 그릴,+82 2-6282-6759,"서울 서울특별시 서초구 신반포로 176 강남구, JW 메리어트 호텔 서울 7층",06546,37.50391,127.00475,"스테이크하우스, 바, 그릴",일 11:30~14:30 / 일 18:00~22:00 / 월 11:30~14:30 / 월 18:00~22:00 / 화 11:30~14:30 / 화 18:00~22:00 / 수 11:30~14:30 / 수 18:00~22:00 / 목 11:30~14:30 / 목 18:00~22:00 / 금 11:30~14:30 / 금 18:00~22:00 / 토 11:30~14:30 / 토 18:00~22:00,야외 정원으로 둘러싸인 이색적인 공간에서 우드 파이어 그릴로 구워내는 최상급 육류와 해산물 메뉴들을 맛보며 그릴 요리의 진수를 경험해 보세요. 대형 와인셀러의 진귀한 와인들을 매칭하여 오뜨 뀌진을 즐기실 수 있습니다.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/44/07/47/the-margaux-grill-features.jpg?w=900&h=500&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d14803418-Reviews-The_Margaux_Grill-Seoul.html,313,4.9,,우드파이어 그릴의 깊은 풍미와 품격,,1822313986,https://place.map.kakao.com/1822313986,28900,31900,3,true,true,true,,,,,tripadvisor
10388017,빤닭빤닭 명동,+82 2-6953-0012,서울 명동4길 46 2층,04537,37.5617,126.983955,"아시아 요리, 한국, 건강식",일 11:00~22:30 / 월 11:00~22:30 / 화 11:00~22:30 / 수 11:00~22:30 / 목 11:00~22:30 / 금 11:00~22:30 / 토 11:00~22:30,"서울의 심장, 명동에서 쾌적하고 기분 좋은 식사를 약속하는 '빤닭빤닭 명동점'입니다. 저희는 오직 신선한 국내산 닭고기만을 사용하여, 닭갈비 본연의 부드러운 식감과 풍미를 살리는 데 집중하고 있습니다. 빤닭빤닭의 특별함은 '선택의 즐거움'에 있습니다. 명동의 필수 메뉴(明洞必食)로 자리 잡은 화려한 **불고기 치즈 닭갈비(チーズタッカルビ)**부터, 부드러운 풍미의 로제 닭갈비, 바삭한 후라이드 치킨까지 다채로운 메뉴가 준비되어 있습니다. 특히 매운맛이 부담스러운 분들을 위해 준비한 **'간장 닭갈비'**는 찜닭처럼 부드럽고 짭조름한 맛으로, 명동을 찾은 외국인 관광객분들께 최고의 만족도를 선사하고 있습니다. 모든 요리는 주방에서 정성껏 완벽하게 조리되어 나와, 테이블에서 기다림 없이 바로 편안하게 식사를 즐기실 수 있습니다. 최근 리모델링을 마친 깔끔한 공간에서, 품질 좋은 닭갈비를 합리적인 가격으로 만나보세요. 명동에서 가장 훌륭한 맛집(明洞 グルメ)으로 기억될 수 있도록 늘 최선을 다하겠습니다",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/3c/60/b0/caption.jpg?w=900&h=-1&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d10388017-Reviews-Bbandak_Bbandak_Myeongdong_Branch-Seoul.html,93,4.5,,다양한 소스와 푸짐한 치즈닭갈비의 매력,,844190428,https://place.map.kakao.com/844190428,13000,15000,4,,,,,,,,tripadvisor
4343686,아트리오,+82 2-6137-7120,서울 영등포구 여의도동 23-1 콘래드 서울 2층,150948,37.525414,126.92661,"이탈리아 요리, 피자, 중부 이탈리아",월 11:00~21:30 / 화 11:00~21:30 / 수 11:00~21:30 / 목 11:00~21:30 / 금 11:00~21:30 / 토 11:00~21:30 / 일 11:00~21:30,"Enjoy Italian dining as you’ve never experienced before. Atrio combines sky-high ceilings with hearty, down-to-earth Italian fare, offering simple yet authentic regional Italian recipes. This stylish restaurant features a 28m high ceiling adorned with designer lighting, elegant sculptures, a traditional pizza oven, an antipasti counter and a pasticceria counter. Bravissimo!",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/e0/0d/6d/caption.jpg?w=200&h=200&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4343686-Reviews-Atrio-Seoul.html,375,4.8,이탈리안,쫄깃한 도우와 깊은 풍미의 이탈리안,일 21:00 / 월 21:00 / 화 21:00 / 수 21:00 / 목 21:00 / 금 21:00 / 토 21:00,27543646,https://place.map.kakao.com/27543646,39000,40000,6,,,,,,,,kakao
14090441,853,+82 2-733-0853,서울 인사동 12길 16,03146,37.574703,126.98509,"바베큐, 아시아 요리, 한국, 그릴",월 11:30~22:00 / 화 11:30~22:00 / 수 11:30~22:00 / 목 11:30~22:00 / 금 11:30~22:00 / 토 11:30~22:00 / 일 11:30~22:00,"■ Korean BBQ Restaurant '853' ■ "" We serve authentic Korean pork BBQ With 853 grill Know-how"" ■ BBQ Menu ○ Pork Blade Shoulder(moksal) (150g/100g 12,000)-18,000 ○ Pork Belly (Samgyeopsal) (150g/100g 12,000)- 18,000 ○ Pork cheek meat(Gabrisal) (150g / 100g 14,000)- 21,000 ○ Pork Neck(hangjeongsal) (150g / 100g 14,666)- 22,000 ■ business our: 11:30~22:00 ■ Lunch menu 11:30~14:30, Last Oder: 14:00 everyday. ■ Last Oder Time: 21:20 everyday.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/b9/1a/b6/37fa8f9d-5dbb-42bb.jpg?w=200&h=200&s=1,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d14090441-Reviews-853-Seoul.html,248,4.7,"육류,고기",안국역 6번출구 인근에 위치한 인사동 맛집 '853'입니다,일 21:20 / 월 21:20 / 화 21:20 / 수 21:20 / 목 21:20 / 금 21:20 / 토 21:20,1491327179,https://place.map.kakao.com/1491327179,14000,18000,5,,,,,,,,kakao
1174982,토속촌삼계탕,+82 2-737-7444,서울 종로구 자하문로5길 5,03041,37.57775,126.97164,"아시아 요리, 한국, 건강식, 수프",월 10:00~22:00 / 화 10:00~22:00 / 수 10:00~22:00 / 목 10:00~22:00 / 금 10:00~22:00 / 토 10:00~22:00 / 일 10:00~22:00,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/30/7a/b5/caption.jpg?w=200&h=200&s=1&cx=768&cy=960&chk=v1_7e22ebca493f2be4d45e,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1174982-Reviews-Tosokchon_Samgyetang-Seoul.html,2721,4.2,삼계탕,한옥의 품격 속 깊은 견과류 삼계탕,일 21:00 / 월 21:00 / 화 21:00 / 수 21:00 / 목 21:00 / 금 21:00 / 토 21:00,26545925,https://place.map.kakao.com/26545925,19000,25500,8,true,true,true,true,,,,kakao
