id,restaurant_id,rating,content
1,9163742,5,Great K BBQ! Highly recommended! 😄😄😄
2,9163742,3,Thelma and Louise on the road again !!!
3,9163742,5,"Excellent meat, friendly staff"
4,9163742,5,"very good meat, the beef melts in your mouth. Polite staff, I recommend from the heart."
5,9163742,5,"Amazing steak, really lovely staff who spoke great English (sorry our Korean isn’t so good) - great value for money. Faultless - we will be back :)"
6,9163742,5,Quality meat for a typical Korean BBQ.
7,9163742,5,"This Place is excellent. We Ate Special Meat. We came twice during our Holiday. Personal is very Kind, guest lover and they speak English."
8,9163742,5,"First class food and service. Busy restaurant with many locals and foreigners. Delicious beef, spicy Kimchee and all delivered speedily with a smile. Very good indeed."
9,9163742,5,Really delicious. I knew I wanted Korean BBQ while in Seoul and this was across the street from our hotel. The meat was very tender and flavorful. It comes with the sides which they will refill if requested. Also salad. I did also order one rice. They were also very nice.
10,9163742,5,Very nice.and good experience
11,9163742,5,"Disappointing! Very few sides, no rice, no sauces, nothing I would have expected."
12,9163742,5,Another restaurant I want to visit.
13,33118839,4,"I went to Chamong and discovered the location and the atmosphere of the store was very comfortable. It was so good that the smell of charcoal was silvery in the meat. 👍 The meat was also fresh and satisfied. The staff were very friendly to eat and feel good, and I'm thinking of visiting again the next time you go!"
14,33118839,5,My friend came from abroad and wanted to eat Korean meat. I looked at the Madoon Dish shop. I brought it and I said Korean food is too delicious! I'll visit again.
15,33118839,4,The food is excellent service is dammmmm good.
16,33118839,5,"I was thinking about what to eat, but I couldn't catch it and it was deliciously baked. Specifically, they prefer thicker meats than thin meat, but the meat tastes better to chew! The store was clean and comfortable to eat. Overall a satisfactory visit."
17,33118839,5,I'm curious that I'm going to go to the coal shop and I'm wondering how good it is. It's delicious. It's delicious. It's delicious. It's delicious. It's delicious.
18,33118839,5,"The atmosphere inside is mildly lit, it's a cozy and quiet atmosphere. It's a meathouse, but it's well ventilated, and there's little smell or smell of sensitive meat. The ripe meat is dull, and the meat is so good."
19,33118839,4,"You can enjoy both ripe pork and 1++ beef, so the choice is wide! The condition of the meat is good, so as soon as you put it on a fire, the smell comes up, and the more you chew it, the more it tastes alive! The store was clean and stylish atmosphere. It was good for dining, and it seemed to be no burden to come as a group! Overall, it was a great place to eat comfortably and it felt perfect for important places or gatherings!"
20,33118839,5,"The meat is so good. It is rich in juice. The technicians baked them directly, so they ate them too deliciously without worrying about a day. The interior of the store is clean, so family meals or corporate meetings are possible. Return doctor for 200."
21,33118839,5,The proper meat taste
22,33118839,4,"It was a very nice atmosphere because the interior reinterpreted the traditional feelings of the house. 1++ Baking the ripe pork in a special charcoal so the juice and charcoal scent are perfectly harmonious Three-legged, wrestling, and a good maturity, accusing and soft!"
23,33118839,5,"It is a place where you can enjoy a delicious charcoal burn on a baton. The meat is bitter and the smell of charcoal is fine, so every time you eat it, the flavor is alive. The staff baked the meat directly so they could eat comfortably, and at the same time they came out clean and fit well with the meat. The store is clean and atmospheric for friends, lovers, family and anyone to enjoy without a burden. The price range is small, but the satisfaction is high, making it a good place to visit on a special day."
24,33118839,4,"I've been to Chamong Sunshine coal-collar, the meat is soft and has a deep flavor. The charcoal smelled silver and the berry taste was good, but also varied, and the staff service was friendly and a satisfying meal."
25,33118839,5,Eugene... It was the best high house I've ever been to...
26,14803574,5,"Playbus is delicious, but it seems that there is the ruler of the Bucharest Railway that makes it a hundred times more enjoyable! Enjoy special tea differently every time!"
27,14803574,5,"If you are looking for a special hotel buffet, play it!"
28,14803574,3,"The hotel is 5 stars, the playhouse is 10 stars"
29,14803574,5,"I visited it for the anniversary and it was famously delicious. ~ The best of them was a rabbit, and coffee was delicious for dessert. And the Emperor was so kind that he was so kind. The Big Heart event and the Pink Cake event were so fun!"
30,14803574,5,"Tasty, friendly, pleasant."
31,14803574,5,The kindness was a place where the basic service was too good!!
32,14803574,3,I thought Omakase came.
33,14803574,5,Delicious Playboards and Flowers of Playboards
34,14803574,5,The warm service of the ruler
35,14803574,5,"Food is also a first-class national hotel buffet. The ruler was so kind and had lots of honey tips to tell you, and it was more delicious than it was on YouTube."
36,14803574,5,The Dominator and Kim Ji had a great time thanks to the server!
37,14803574,5,Best anniversary dinner.
38,14803574,5,I was with my girlfriend today. The Emperor and Kim Jiang served me so kindly that they had a more meaningful meal time. I'd like to come back next time 👍🏻 It was so nice to take a lot of pictures.
39,14803574,5,It's not easy to meet the Railway Master!
40,14803574,4,The only place where the friendly ruler of Busan is.
41,1174982,1,Disaster service and bad attitude
42,1174982,1,"I went for two meals here during my seven days trip, one for dinner and the other for lunch. I took a taxi here on my first night in Seoul. I got a table quickly as this restaurant is large. I ordered the black chicken ginseng. It was delicious but I wished they gave us more ginseng wine. For lunch, it was more crowded as there appeared to be many people from tour groups but I got my seat quickly too. Now I ordered the white chicken. Personally I preferred the black chicken version better. There are green beans, pine nuts, chest nut in the soup. A bottle of ginseng wine can be purchased for 15000 won. After lunch, I took a taxi to Yonsei University which is not too far away. The autumn colours here was the best that I have seen during my one week trip. It was an easy walk to Sinchon station to go back."
43,1174982,5,A nice experience near the National Palace Museum of Korea
44,1174982,5,"Samgetan tastes like a medicinal meal, but not bad."
45,1174982,2,"My friend wanted to try samgyetang and found this place. The samgyetang was delicious, the portions were large, and the service was fast, but unfortunately, you have to order the black chicken in advance, no walk-in options. I will be back and will definitely order the black chicken."
46,1174982,5,"Without any particular planning, we decided that in Seoul, we should try the famous Korean Ginseng Chicken Soup, featuring a small whole chicken (mine was a rare black chicken) stuffed with glutinous rice, ginseng, gingko and dates, in a rich broth cooked for ages. Tosokchon Samgyetang is in a beautiful old building. Koreans don't consider this dish food but medicine, and we didn't consider this meal as just food either, but an interesting cultural experience. Each person has to order their own chicken. Don't bother arguing. And I wasn't crazy about the ginseng liquor, nor the milky rice wine. But it was such a great cultural experience. The flavours were intense and unusual, the broth was really rich, and eating our own chicken took a bit of work: interactive eating is quite fun, really. I would recommend this experience, and this restaurant, to anyone visiting Seoul."
47,1174982,5,A great place for lunch. Amazing food and a fun and friendly vibrant atmosphere.
48,1174982,5,Great Korean chicken restaurant.
49,1174982,4,Heavenly Chicken Soup Delight
50,1174982,4,"Delicious ginseng chicken soup! Service was good and there was no need to queue. It was one of the most comforting and nourishing dishes I’ve had. The broth was rich and earthy with a subtle bitterness from the ginseng, perfectly balanced by the sweetness of the jujube (red dates) and garlic. The whole young chicken was incredibly tender, practically falling off the bone, and stuffed with sticky rice that soaked up all the flavors."
51,1174982,4,"Definitely could do better, standards have declined"
52,1174982,4,Tasty Fusion with a Fun Vibe
53,1174982,4,Sankei-tou you want to eat side by side
54,10388017,3,Myeong-dong experience
55,10388017,5,Restaurant's favorite review
56,10388017,5,"Everything was great, the location was excellent, the chicken portions were generous, and the air conditioning was cool and comfortable."
57,10388017,5,Chicken Chicken Visit
58,10388017,5,Great Dak-galbi from Myungdong!
59,10388017,5,The flavors blended together incredibly well. I will definitely come again.
60,10388017,5,Spicy Chicken - not too spicy :)
61,10388017,5,"I've started, but the volume and taste are amazing! Really."
62,10388017,5,I enjoyed two kinds of Korean food!
63,10388017,5,It is delicious!!! Food should be fried. I'll go again.
64,10388017,5,I'm traveling with my family on holiday and I'm here to eat chicken crumbs.
65,10388017,5,Cheese bomb chicken balls!
66,10388017,5,It's delicious. Lots of cheese.
67,10388017,5,"The cheesecake was especially delicious and abundant and satisfying. The store was clean and comfortable, so it would be nice to go with friends or family, and the staff were friendly and felt good to eat."
68,10388017,5,"The combination of cheese and chicken crumb is a fantasy. I can't catch the chicken crumbs and eat it with cheese. It's delicious. It's also well baked, and it's perfect to eat the fries. Admittedly ~!! Next time I'll go to the doctor again. 100 pounds. Well, that's what I want to eat."
69,14803418,5,"It was a good meal, no matter the mood, taste. Thank you, Mr. Kim Taehu, for your delicious meal."
70,14803418,5,"The food was delicious, but it was a happier evening with the kindness of the staff. Thank you to Mr. Kim Taehu Temple and Mr. Sheikh Chef for carefully caring!"
71,14803418,5,Atmosphere and Taste and Friendliness
72,14803418,5,"Food, staff service all satisfied👍🏻"
73,14803418,5,"Great food, better service"
74,14803418,5,Perfect as a date place
75,14803418,5,A restaurant where you can eat delicious food in a good atmosphere!
76,14803418,5,Great place to visit for your birthday!
77,14803418,5,"Thanks to Mr. Kim Tafu, we have a really happy anniversary. Very kind and really good memory. Thanks to Mr. Kim Taehu Temple, just has improved his image and will also stay at the hotel. Sooooooo good"
78,14803418,5,Dating place to enjoy a wonderful garden view
79,14803418,2,Careful staff service
80,14803418,5,Quality good food and the best service
81,14803418,5,Atmosphere and friendly restaurant
82,14803418,5,I'm here for family birthday. Evening course was delicious and great. Friendly service was good.
83,14803418,5,The food is delicious and the staff are friendly.
84,1371740,5,"North American Cuisine Near City Hall, Shannon Gate"
85,1371740,5,True Delicious Certificate
86,1371740,5,"Worth the wait for a hearty, classic Seoul experience"
87,1371740,4,It is a traditional Korean pollock soup place the service is great and food is also lined up but worth the experience especially if you are a foreigner and want to try the real Korean food is very accessible relatively cheap
88,1371740,5,"Gentle on the stomach, perfect for breakfast"
89,1371740,5,Tasty Dried Pollock Soup
90,1371740,3,A one-dish restaurant
91,1371740,4,"Delicious. Simple. Not expensive. The banchan was very nice, and complemented the soup and rice perfectly. They only offer one korean dish - nothing else to choose on the menu - but this has been perfected."
92,1371740,5,"I saw people's review raving about this place and decided to try before my departure. I purposely waited a bit to avoid breakfast hour. When I arrived, there was no queue and I was seated immediately. The soup is mild and no fishy smell. Very light taste. It goes well with steamed rice and kimchi. It is quite a huge portion. The service is very fast. Once you are at the table, the food is served with no questions. It is good experience to have local breakies."
93,1371740,4,9500won and so delicious. Sit and enjoy 1 meal they serve. Really worth concerning the recommendation i wanted to try. Yummy
94,1371740,5,"Humble dried-pollack soup. Nothing fancy. But, it's good."
95,1371740,3,"Yangon (Rangoon), Myanmar"
96,1371740,3,This place deserve five star
97,4343686,5,Friendly and tasty and so good! Happy to come every time family colleagues meet. Especially Teemo's best
98,4343686,5,Thanks to Teemo we had a great time. I want to come every weekend.
99,4343686,5,The bread is so delicious and the food is delicious overall! Julie was kind to tell you what a good experience!
100,4343686,5,I visited with my mother for lunch and the meal was delicious and friendly. I especially thank the staff of Jenna.
101,4343686,5,From menu recommendation to taste!
102,4343686,5,Delicious food and atmosphere
103,4343686,3,Five stars experience
104,4343686,5,"We were at le Petit Chef dinner with the kids. It was a classy exprience, with an unusual and delicious serving. We had Chief Noah and Tiny with us, it was very heartfelt and delicious. The kids were thrilled. We recommend that everyone try this kind of food service"
105,4343686,5,You can wait about two hours and come.
106,4343686,5,"Compared to the atmosphere, the cost is good!"
107,4343686,5,Top notch food. Helpful and kind servers. Nice view.
108,4343686,5,Great Pizza Baked Vegetable Eating Bread
109,4343686,5,"Everyone was very friendly, especially Serena's service was very good - the food was delicious, even epic, pasta, pizza and main. And also the atmosphere was so good that I could eat and go comfortably!! Thank you so much!"
110,4343686,5,"Visited as a family gathering. I came from the United States with my son, wife and mother for lunch. Pizza1 Pasta2 Salad1 Most of the food was delicious but especially the pizza was delicious."
111,4343686,5,The brunch pizza for family meals was especially delicious. It was well trained and the salad is delicious. The place was pleasant. Whoa.
112,26822594,3,"My first ever Korean BBQ, and honestly, what a way to be introduced to it. If you’ve never tried Korean BBQ before, the concept is simple — a grill sits right in the centre of your table, and the food is cooked in front of you. At Daol, the staff take care of all of that for you, which made the whole experience completely relaxed and stress-free. They were attentive, friendly, and genuinely seemed to enjoy making sure we were having a great time. Nothing was too much trouble. The banchan (side dishes) that arrived alongside our meal were a real highlight — varied, flavourful, and the perfect accompaniment to the main event. But the star of the show? The sirloin steak. I don’t say this lightly: it was the best sirloin I have ever tasted. Perfectly cooked, unbelievably moist, and so tender it practically melted in your mouth. The quality of the meat speaks for itself. Whether you’re a Korean BBQ veteran or a complete first-timer like I was, Daol is a must-visit. If you’re heading to Myeongdong, do yourself a favour and make this a priority stop — you won’t regret it."
113,26822594,5,Delicious meat house in Miyong
114,26822594,5,The meat full of charcoal aroma is really the best!
115,26822594,3,BBQ full service available.
116,26822594,5,Great introduction to Korean bbq
117,26822594,5,"Last time I ate it, the sauce was delicious, so I ordered it again and tried it. The meat is very smooth, so I recommend it."
118,26822594,3,Great Korean BBQ!! Delicious food and good portions.
119,26822594,5,Our best meal of the trip!
120,26822594,4,"A good price, atmosphere, delicious and good service"
121,26822594,2,Shoot with foreign friends
122,14803417,5,It's nice to be together on a special day.
123,14803417,5,What if life was free and no pleasure? Come here. Experienced a world of deliciousness that I've never felt with 20 menus.
124,14803417,5,"The ingredients, the atmosphere, the taste and the kindness are all great 😀 It was delicious."
125,14803417,5,A special run that was able to feel Tamayura's creativity and cooking sensation :)
126,14803417,5,"Good configuration, sound and tasteful!! A place where you can taste the iron ingredients."
127,14803417,3,Recommended Omakase in Seoul
128,14803417,5,"It was a day when I could eat the sushi I really wanted after giving birth! The taste from start to finish, of course, the service is very satisfying. The ingredients were too fresh and the ingredients used differently from other sushi restaurants were too fresh. The final dessert with special ingredients was delicious! Thanks to the friendly and friendly chef, it was a very satisfying meal. I want to come again soon!"
129,14803417,3,Must to come Sushi Omakasse
130,14803417,5,Top friendly service!!
131,14803417,5,Thank you for the friendly explanation and the delicious food of the chef and servant!
132,14803417,5,It's too delicious and sublime. The quality is so good!!!!!
133,14803417,5,Delicious meals and great interior
134,14803417,5,High-Quality Omakase with Outstanding Service
135,14803417,5,Visited for lunch. The course was satisfied from beginning to end. There's a doctor.
136,14803417,5,Tamayura Lanchi Omakase
137,25453046,5,Here's the rack. Beer brewers don't taste like terra. It's like a full-moon honey beer. And food says what. The taste of real beer... Admired.
138,25453046,3,I recommend a beef fight.
139,25453046,5,You will come back in the street!
140,25453046,5,"An awesome restaurant. We had 4 dishes, where the cucumber with yuzu and the pancake with lamb really stood out. If we hadn’t gotten so full, we would have ordered more pancake. It was absolutely magical"
141,25453046,5,Freelancer and sheep-meat combat plates. And the turkey!
142,25453046,5,"I've booked a menu and it's fresh, delicious and atmospheric."
143,25453046,5,"It's delicious. It's friendly to foreigners, friendly to Koreans, friendly to taste, friendly to lamb meat and solid Chinese food Hong Kong food. You guys will come because I'm the only one. Sorry. Come a lot."
144,25453046,5,The lambs are delicious.
145,25453046,3,Private atmosphere and food tasting
146,25453046,5,Delicious! The price is reasonable and good! Next. I'll come again.
147,25453046,5,The atmosphere is tasty.
148,25453046,5,Restaurant with many delicious menus
149,25453046,5,I recommend free drinking.
150,25453046,5,The menu was very varied and delicious!! People coming from the south.
151,25453046,5,"This June, I visited Yan Nam East with a friend and I was very satisfied. The atmosphere of the store was cozy and emotional, so it was great to share the story with friends and Dorando. The food ordered was clean and delicious, so I immediately understood why it was so popular. If you are looking for a place in a good atmosphere without failures in the South East, we recommend it."
152,21127141,5,Great staff and good food!
153,21127141,5,Generous and courteous
154,21127141,5,"Chic, reliable restaurant"
155,21127141,5,"My brother visited a long time before going to work abroad and still had the best meals and good service. Especially when Crystal was at the server, she was so friendly and professional to serve me, I hope to visit again!!!"
156,21127141,5,"The Cleo is the restaurant of the Hotel de Mondrian. The setting, decoration and lighting make it a very cozy place. The service is impeccable but above all the Mediterranean inspired dishes are absolutely delicious!"
157,21127141,5,"The service is really helpful and pleasant, and the food is delicious!! They also have excellent vegan alternatives!!"
158,21127141,5,"We had dinner here around 8 pm. Salads were great but we also ordered Moroccan chicken that just turned out to be a KFC variety with some sauce. Drinks were nice but overpriced. Restaurant was not busy and they started clearing the tables and setting it up for breakfast, which kind of killed the atmosphere. Overall a so-so experience for which we definitely paid too much."
159,21127141,5,Great choice if u like middle east food in a lifestyle environment. Located at Mondrian hotel. Service is attentive and food is very tasty. Will be back !
160,21127141,5,Fantastic service and food
161,21127141,3,Please pay attention when booking outside on the terrace.
162,21127141,5,"Delicious food. Great service. Jenni recommended a great dessert. The falafel salad is delicious as well as the lamb. The selection of wines is limited, but the one that I had was not bad."
163,21127141,2,Flavours which you’ll remember for a long time
164,21127141,4,Ms. Bona was wonderful to us all. Wish her the best. Love the way she smiles and treats all the other customers. Wish all the best!
165,21127141,3,The Cleo what a royal experience.
166,9105334,5,Beautiful and well-designed décor throughout the restaurant Good service with friendly staff Generally tasty BBQ food Pl
167,9105334,4,Good times with friends and nightlife sightseeing
168,9105334,3,I didn’t know Korean meats were so delicious!
169,9105334,4,"Located in the heart of Itawon, Seoul's nightlife district. Very nice place on the outside, inside neat but a bit anonymous on the inside. Fast and attentive Service as usual in Korea. Good food. Mid-high price range (more than the Korean average). Great if you want to try Korean barbecue with quality meat."
170,9105334,3,Would not return or recommend
171,9105334,4,Eat in this restaurant if you’re in the area
172,9105334,4,"We went to Maple Tree House for dinner with the aim to try the true Korean barbecue without reserving a table in advance. Nonetheless after a short wait, we have been accommodated at the table. The orders have been taken and evaded quickly, the staff was nice and professional. The meat was of a good quality served with the right amount of 반상. Nice atmosphere, billa little bit high but the restaurant is worthy to be tried. Recommended"
173,9105334,5,"The Korean barbecue was a beautiful discovery. The quality of the meat is there. Too bad you feel a little pushed towards the exit at the end of the meal, e.g. you come to deposit the deposit before you are even finished. A local practice?"
174,9105334,4,"Very good restaurant located in the heart of Itaewon. Grilled meats are delicious and of better quality than other restaurants. Beautiful clean and chic decoration. Awards are quite high because the restaurant is touristic and ""classy"", without being excessive. I recommend to test Korean BBQ!"
175,9105334,4,One of the best Korean bbq in the area
176,9105334,3,The best meal I had during my Korea trip
177,2327459,5,Meet Bangkok at Ithaca
